time(ms),acc.x,acc.y,acc.z,acclinear.x,acclinear.y,acclinear.z,gravity.x,gravity.y,gravity.z,gyroscope.x,gyroscope.y,gyroscope.z,RV.x,RV.y,RV.z,RV.cos,RV.heading
1,-0.16903064,0.5131445,9.577257,0.1682,-0.0071,-0.1982,-0.2685,0.4944,9.7904,-0.10925761,-0.0673348,-0.10681415,0.023622,-0.01833,-0.91252,0.407937,0
41,-0.20696437,0.49546567,10.194252,0.0535,-0.0017,0.3461,-0.2104,0.45279998,9.7939,-0.00127409,-0.23069762,-0.06595599,0.019179,-0.016757,-0.913719,0.405547,0
81,-0.21830331,0.5285057,9.871179,-0.13159999,-0.0058,0.1002,-0.1331,0.4667,9.7946,0.07916813,-0.03598869,0.016737707,0.015839,-0.01902,-0.914202,0.404501,0
121,0.002020706,0.5718982,9.860903,0.098699994,0.061199997,0.1017,-0.1281,0.49769998,9.793099,0.1131846,0.04202753,0.07258824,0.016262,-0.020558,-0.913902,0.405085,0
161,0.05761407,0.6797809,9.668514,0.2083,0.0793,-0.0815,-0.1495,0.5482,9.7901,0.13418092,0.15294321,0.07855727,0.018339,-0.022447,-0.913216,0.406442,0
201,0.071567476,0.63070935,10.0092945,0.2739,0.0257,0.1971,-0.2052,0.60179996,9.785999,0.17681931,0.12199851,0.053075463,0.022088,-0.023754999,-0.91246897,0.407857,0
242,0.006253655,0.74282503,9.6160145,0.22659999,-0.0022,-0.0027,-0.2462,0.6789,9.78,0.23474678,0.09848893,-4.89E-04,0.025626,-0.026473999,-0.911993,0.408546,0
281,0.006904878,0.81651855,9.156883,0.3215,0.021399999,-0.6627,-0.27249998,0.76299995,9.7731,0.11758283,-0.033894293,-0.06419321,0.028602,-0.029859,-0.911963,0.408181,0
321,-0.071634516,0.79437697,9.19586,0.2026,-7.00E-04,-0.5722,-0.26139998,0.79499996,9.7708,-0.004607669,-0.030089477,-0.09646435,0.02871,-0.031625,-0.912501,0.406836,0
361,-0.20919576,0.68763393,9.684507,0.0163,-0.0578,-0.1811,-0.25169998,0.78349996,9.771999,-0.08969247,-0.011972958,-0.07639306,0.027955,-0.03134,-0.913306,0.4051,0
401,-0.2977908,0.7968095,10.068748,-0.0361,0.051599998,0.2968,-0.2482,0.7525,9.7745,-0.014730579,-0.021066124,-0.05461135,0.027104,-0.030004,-0.913939,0.40383,0
442,-0.29084763,0.84310377,9.853241,-0.052199997,0.0603,0.13,-0.2419,0.7536,9.7746,0.054367006,-0.001343904,-0.019966567,0.026806,-0.030212,-0.914343,0.40292,0
481,-0.2240877,0.9270828,9.583377,0.016999999,0.1258,-0.1427,-0.2426,0.77629995,9.7727995,0.059376102,-0.007557276,0.002740167,0.027295,-0.031268,-0.91441697,0.402639,0
521,-0.16360058,0.8645941,9.528779,0.0887,0.098,-0.3375,-0.2358,0.79429996,9.7715,-0.017575465,-0.02576106,9.95E-04,0.027351,-0.032246,-0.914386,0.402629,0
561,-0.14580688,0.8757511,9.903434,0.1015,0.0574,0.1028,-0.22899999,0.7859,9.7724,-0.001082104,0.002426008,-0.002722714,0.026858,-0.031995,-0.914398,0.402655,0
601,-0.2774305,0.89282656,9.739565,-0.047,0.1085,0.015199999,-0.22749999,0.79359996,9.7718,0.05735152,0.011536626,0.018640116,0.026946,-0.032387,-0.9144,0.402611,0
641,-0.18805975,0.91288996,9.686327,0.024699999,0.085,-0.0514,-0.2307,0.8171,9.7698,0.06288421,0.004153884,0.034225907,0.027596,-0.033406,-0.914162,0.403025,0
681,-0.09518389,0.86436427,9.680486,0.13769999,0.023599999,-0.1281,-0.226,0.8393,9.768,0.04059636,-0.018832102,0.026651178,0.027855,-0.034525,-0.913872,0.40357,0
722,-0.0682539,0.992818,9.595395,0.1604,0.0946,-0.1169,-0.2193,0.8566,9.7667,0.04872959,-0.006981317,0.02316052,0.02792,-0.035458,-0.91363597,0.40401798,0
761,-0.078414895,1.0002687,9.608372,0.0808,0.1384,-0.19409999,-0.2181,0.87149996,9.7654,0.002094395,0.002094395,0.01675516,0.028185999,-0.036172,-0.913454,0.404348,0
801,-0.0589644,0.97548395,9.759408,0.18239999,0.1073,-0.0077,-0.2118,0.87329996,9.7653,0.011955505,-0.019792033,-0.00439823,0.027934,-0.036379,-0.913388,0.404498,0
841,-0.071529165,0.9362765,9.711073,0.1683,0.063599996,-0.0466,-0.2075,0.8778,9.764999,0.018727383,0.014154621,-0.006894051,0.027826,-0.036677,-0.91340697,0.404433,0
881,-0.17570567,0.97927636,9.588031,0.0524,0.0731,-0.1634,-0.2093,0.8878,9.7641,0.013578662,-0.006876597,-0.012426744,0.028112,-0.037117,-0.913472,0.404228,0
921,-0.06817728,0.9859035,9.717931,0.1193,0.0793,-0.0748,-0.2076,0.8915,9.7638,-0.00127409,0.003857178,-0.00561996,0.028097,-0.037331,-0.913544,0.404045,0
961,0.03182373,0.9840265,9.698058,0.2474,0.0969,-0.1138,-0.2082,0.8935,9.763599,-0.002391101,-0.010925761,-0.038798667,0.028158,-0.037418,-0.913647,0.403801,0
1001,-0.12877932,0.9236064,9.841079,0.087699994,-0.0027,0.0823,-0.20539999,0.8951,9.7635,0.027000243,0.01712168,-0.030874874,0.02803,-0.037573,-0.913962,0.403081,0
1041,-0.06988196,0.9781559,9.587715,0.16229999,0.0196,-0.1317,-0.2113,0.9119,9.7618,0.0652055,-0.009040806,-0.036494836,0.028631,-0.038255,-0.914168,0.402508,0
1081,-0.11434708,1.0203513,9.530963,0.081099994,0.057499997,-0.2769,-0.2086,0.9328,9.7599,0.009581857,0.008063421,-0.03499385,0.028908,-0.039312,-0.914434,0.401782,0
1121,-0.10895533,0.97480404,9.727776,0.111099996,0.006,-0.021599999,-0.2092,0.9353,9.7596,0.008412487,-0.010192723,-0.035168383,0.028958,-0.039439,-0.914705,0.401147,0
1161,-0.15586254,1.0006901,9.705998,0.0298,0.0423,-0.0901,-0.20629999,0.9382,9.759399,-0.005201081,0.003071779,-0.023404865,0.028855,-0.039653,-0.914986,0.400494,0
1202,-0.1385764,1.0706104,9.7600975,0.1078,0.1305,-0.0116,-0.2058,0.93829995,9.759399,0.009669124,0.015166911,-0.009145525,0.028818,-0.03968,-0.915149,0.40012,0
1241,-0.14921623,0.984649,9.763276,0.0622,0.054199997,0.0185,-0.2093,0.946,9.758599,0.049288098,-0.005899213,-0.006038839,0.029134,-0.039973,-0.915193,0.39996698,0
1281,-0.13343365,1.0567719,9.4077,0.0874,0.0717,-0.3128,-0.2051,0.9677,9.756599,0.038571775,-0.002042035,-0.004974188,0.029373,-0.041079,-0.915209,0.399802,0
1321,-0.15192647,1.0001922,9.659254,0.0681,0.0274,-0.175,-0.20539999,0.97279996,9.7561,-0.035342917,-0.005305801,7.16E-04,0.029491,-0.041314,-0.91522,0.399742,0
1361,-0.08301176,1.0793157,9.844268,0.1228,0.0786,0.0492,-0.2012,0.9608,9.757299,-0.018936822,0.001047198,0.006265732,0.029052,-0.040836,-0.91523397,0.399793,0
1401,-0.0587154,1.0449255,9.848721,0.1928,0.0915,0.0784,-0.2026,0.95769995,9.7576,0.030089477,-0.003961898,-0.009529498,0.029058,-0.040661,-0.915195,0.399899,0
1441,-0.1465443,1.0190297,9.631193,0.0598,0.036599997,-0.1064,-0.1971,0.9734,9.7562,0.045622908,0.004520403,1.05E-04,0.02911,-0.041513,-0.915252,0.399678,0
1482,-0.05146576,1.0309623,9.549053,0.1594,0.051099997,-0.252,-0.1986,0.98829997,9.7546,0.008499754,-0.00837758,-0.00408407,0.029487,-0.042183,-0.91521,0.399676,0
1521,-0.08117301,1.0153713,9.66454,0.110599995,-0.0017,-0.085099995,-0.189,0.99219996,9.754399,0.007714355,-0.027890362,-0.006422812,0.029112,-0.042564,-0.915279,0.399504,0
1561,-0.18037915,1.0397922,9.735265,0.024799999,0.057299998,-0.1147,-0.18169999,0.99189997,9.7546,-0.027384216,0.005864306,-0.01850049,0.028748,-0.042712,-0.915404,0.399228,0
1601,-0.11225933,1.0659847,9.801488,0.0927,0.053,0.0906,-0.181,0.98639995,9.755199,0.030281462,-0.006161012,-0.002670354,0.028593,-0.042476,-0.915525,0.398988,0
1641,-0.034926612,1.0677853,9.562719,0.148,0.079799995,-0.1925,-0.1774,0.9988,9.754,0.019163715,-0.010105456,-0.012915436,0.028675,-0.043134,-0.915543,0.398869,0
1681,-0.16036363,0.97830915,9.663171,0.0241,-0.0525,-0.1235,-0.17119999,1.0037,9.7536,-0.007714355,-1.92E-04,-0.012095132,0.028468,-0.0435,-0.915688,0.398513,0
1721,-0.13133633,1.0933266,9.708287,0.0442,0.068399996,-0.0453,-0.1717,1.0004,9.7539,-0.012967796,0.005078908,-0.006475172,0.028413,-0.043341,-0.915788,0.398304,0
1762,-0.028213272,1.070553,9.764339,0.1319,0.072299995,0.012999999,-0.17109999,0.99649996,9.7543,3.49E-05,-0.00153589,-0.01982694,0.028294,-0.043179,-0.915898,0.39807498,0
1801,-0.07198885,1.0312209,9.684996,0.12239999,0.02,-0.0356,-0.1714,0.99969995,9.754,0.035761796,0.013980087,-0.020437805,0.028356,-0.043336,-0.916074,0.397649,0
1841,-0.15139973,1.0250632,9.397452,0.046699997,0.0255,-0.36749998,-0.1742,1.0138999,9.7525,0.010698868,-0.00280998,-0.015707964,0.028753,-0.043957,-0.91621697,0.397223,0
1881,-0.083241604,1.0112534,9.637418,0.065,-0.031,-0.1814,-0.17279999,1.0116999,9.7527,-0.03806563,0.009302605,1.05E-04,0.028634,-0.043887,-0.916317,0.39701,0
1921,-0.020044256,1.035454,9.655547,0.1336,0.018099999,-0.0256,-0.17279999,1.0016999,9.753799,-0.02422517,-0.004939282,-0.008447394,0.028427,-0.04342,-0.916359,0.396978,0
1961,-0.22441332,1.1150659,9.385366,-0.0266,0.1413,-0.39,-0.16939999,0.98639995,9.7554,-0.0866905,0.035744343,0.001937316,0.027945,-0.042776998,-0.916511,0.396731,0
2002,0.20108421,0.9932394,9.718582,0.3344,0.0632,-0.1092,-0.1873,0.9468,9.759,-0.13838716,0.06888814,0.019163715,0.027992,-0.040548,-0.916467,0.397063,0
2041,-0.17966089,0.8778484,9.949096,0.067499995,0.0043,0.21,-0.2048,0.89779997,9.7633,-0.06895796,0.010053096,-0.016441,0.027817,-0.03789,-0.916541,0.397166,0
2081,-0.025656266,0.9147,9.831167,0.21069999,0.0609,0.1695,-0.22049999,0.8804,9.7645,0.07393215,0.17369516,0.059253927,0.028202,-0.036755,-0.916498,0.397347,0
2121,-0.31788293,1.0614836,9.864762,0.0072,0.1016,0.0674,-0.27199998,0.928,9.7588,0.20371483,0.022357667,0.08670796,0.031627,-0.037903998,-0.915916,0.398321,0
2161,-0.23133734,1.1446965,9.981102,0.070999995,0.0552,0.213,-0.2672,1.0136,9.7504,0.25720918,-0.11590732,0.19837412,0.033254,-0.041943,-0.914759,0.400437,0
2201,-0.20855412,1.2515354,9.629987,-0.0907,0.2096,-0.0422,-0.2034,1.1142,9.741,0.16025613,-0.09616764,0.1495049,0.032514,-0.047846,-0.91308,0.403654,0
2241,-0.17934486,1.2581818,10.012811,-0.1121,0.0289,0.2856,-0.16239999,1.1575999,9.7367,0.10250319,-0.049864057,0.040352013,0.031582,-0.050673,-0.9123,0.405145,0
2282,0.003591303,1.1251886,9.092507,0.33679998,-0.046699997,-0.3561,-0.1505,1.2039,9.731299,0.06195919,0.30017918,-0.038659044,0.03202,-0.053069,-0.911929,0.405638,0
2321,-0.38716155,1.4265133,9.417324,-0.109,0.2593,-0.35369998,-0.27339998,1.2018,9.7288,-0.15550883,0.20369738,-0.008342674,0.0377,-0.050434,-0.912008,0.40531,0
2361,-0.2556816,0.99147725,10.293553,0.0945,-0.1153,0.26729998,-0.32,1.1352,9.7354,-0.17116444,-0.14905111,0.06815511,0.038505,-0.046338,-0.912032,0.405669,0
2401,0.23633644,1.1284161,10.011719,0.4062,-0.0075,0.47,-0.2003,1.1352999,9.7386,0.3407232,-0.65400976,0.032934364,0.032984998,-0.048777,-0.911532,0.40699,0
2441,0.07113652,1.328418,9.616905,0.087,-0.059,-0.1532,0.0501,1.2652,9.7245,0.3318918,-0.46783552,-0.105260804,0.023946,-0.060103,-0.911666,0.405804,0
2481,-0.062191784,1.6015103,9.032423,-0.2778,0.20269999,-0.63379997,0.18949999,1.3957,9.7049,0.24378759,-0.083514005,-0.06304129,0.019988,-0.069174,-0.912227,0.403308,0
