time(ms),acc.x,acc.y,acc.z,acclinear.x,acclinear.y,acclinear.z,gravity.x,gravity.y,gravity.z,gyroscope.x,gyroscope.y,gyroscope.z,RV.x,RV.y,RV.z,RV.cos,RV.heading
0,0.06476794,0.32449093,10.193889,-0.2033,-0.0911,0.23079999,0.3014,0.454,9.7914,0.044750243,-0.022881266,-0.00726057,0.021629,-0.017456999,-0.092858,0.995291,0
41,0.3302945,0.5506664,9.554005,-0.0475,0.030399999,-0.22739999,0.3123,0.49899998,9.788899,0.041992623,0.03502876,-0.012723451,0.024266,-0.018438,-0.093157,0.995184,0
80,0.21645498,0.54413503,9.565611,-0.0858,-0.0029,-0.2077,0.2918,0.5129,9.788799,0.033562683,0.029775318,0.005288348,0.024736,-0.016726,-0.093157,0.995203,0
120,0.31878316,0.59427917,9.721465,0.0963,0.056199998,-0.24689999,0.2762,0.5223,9.788799,-0.04464552,0.12695526,0.012601277,0.025218,-0.016512,-0.09305,0.995205,0
160,0.23389435,0.57379436,9.77134,-0.0199,0.0556,0.0162,0.2357,0.51309997,9.790299,0.06394886,-8.73E-04,0.007522369,0.025136,-0.014207,-0.092714,0.995273,0
200,0.2145013,0.5560486,9.629145,0.009699999,0.036599997,-0.1496,0.22549999,0.53209996,9.789599,0.01993166,0.073705256,0.017662732,0.025962,-0.013969,-0.092568,0.995269,0
240,0.23540749,0.6094871,9.545739,-0.0109,0.0543,-0.2573,0.20709999,0.5438,9.7893,0.040142573,-0.037681658,0.001710423,0.026878,-0.013236,-0.092175,0.995291,0
280,0.28652847,0.61734015,9.678483,0.0251,0.0786,-0.1188,0.22,0.55869997,9.788199,-0.007173303,0.049549896,0.012548917,0.027401,-0.013769,-0.092075,0.995279,0
320,0.19236933,0.6168134,9.632668,-0.116299994,5.00E-04,-0.070199996,0.20449999,0.5584,9.7885,0.031136673,-0.010314896,0.020559978,0.027408,-0.013008,-0.091841,0.995311,0
360,0.108103,0.52701163,9.854859,0.0648,0.031999998,-0.0598,0.20969999,0.5661,9.788,7.68E-04,0.023945916,-7.16E-04,0.027733,-0.013352,-0.091694,0.995311,0
401,0.32064107,0.70048594,9.539927,-0.0068,0.0793,-0.21679999,0.20289999,0.5678,9.788,-9.25E-04,0.009058259,0.014084807,0.027897,-0.012961,-0.091482,0.995331,0
440,-0.018483236,0.5894141,9.760682,-0.144,0.0286,-0.0499,0.20289999,0.56949997,9.7879,0.011746066,0.002199115,0.011239921,0.028066,-0.013179,-0.09147,0.995324,0
480,0.34889263,0.65549415,9.617499,0.0801,0.0819,-0.2367,0.1943,0.5652,9.7884,-0.08018043,0.0397586,0.032288592,0.027812,-0.012498,-0.090929,0.99539,0
520,0.17140569,0.4345955,9.731874,0.1453,-0.0953,0.1151,0.188,0.5464,9.789599,0.02766347,0.050440013,-0.03267256,0.027053,-0.012147,-0.09078,0.995429,0
561,0.03572149,0.56888145,9.518034,-0.16309999,-0.0044,-0.3064,0.1732,0.5545,9.7894,-0.01792453,-0.027488936,0.00986111,0.027317,-0.011355,-0.090987,0.995412,0
600,0.13348153,0.67202365,9.680811,-0.0116,0.081599995,-0.1498,0.1783,0.5459,9.7898,-0.05227261,0.01574287,0.013665928,0.026905,-0.011592,-0.090828,0.995435,0
640,0.18670943,0.5299996,9.904965,0.0166,0.0618,0.0157,0.1794,0.5265,9.7908,-0.04098033,-0.010629055,0.015655603,0.025671,-0.011717,-0.090515,0.995495,0
680,0.26837084,0.6679152,9.736395,0.078899994,0.1237,-0.0534,0.1858,0.5136,9.7914,0.003298672,-0.04956735,-0.002932153,0.025236,-0.011804,-0.090233,0.99553,0
720,0.05170518,0.48751694,9.75438,-0.1768,-0.0139,0.0546,0.1964,0.5141,9.7911,0.041329395,-0.025743606,0.026686084,0.025313,-0.012394,-0.090186,0.995526,0
760,0.27660692,0.672991,9.627085,0.0499,0.109799996,-0.24839999,0.2049,0.5275,9.790299,-0.00991347,0.006178466,0.027419122,0.025882,-0.01289,-0.089571,0.99556,0
801,0.12707464,0.49910486,9.583071,-0.0672,-0.015299999,-0.17989999,0.20449999,0.5252,9.7904,-0.021275563,-0.02453933,0.032847095,0.025704,-0.012861,-0.089087,0.995609,0
840,0.34133655,0.54862654,9.725305,0.0536,0.0257,-0.1313,0.2111,0.5136,9.790899,-0.070092425,0.015655603,0.038955748,0.024818,-0.012937,-0.08829,0.995701,0
880,0.2655936,0.4865688,9.84151,0.043399997,-0.0028,0.0532,0.2039,0.48749998,9.7923,-0.025115287,0.03359759,0.030124383,0.023656,-0.012408,-0.087594,0.995798,0
