time(ms),acc.x,acc.y,acc.z,acclinear.x,acclinear.y,acclinear.z,gravity.x,gravity.y,gravity.z,gyroscope.x,gyroscope.y,gyroscope.z,RV.x,RV.y,RV.z,RV.cos,RV.heading
0,-1.7788248,-9.462862,2.0585537,-0.0796,-0.0276,-0.384,-1.6265999,-9.3671,2.4041998,-0.00577704,-0.05183628,-0.015917404,-0.261146,-0.556075,0.761058,0.208261,0
41,-1.5562502,-9.431067,2.3825467,0.1231,-0.042999998,-0.0657,-1.6235,-9.3713,2.3899,-0.01569051,-0.003508112,0,-0.261191,-0.556709,0.760607,0.20816,0
80,-1.540822,-9.349961,2.3273842,0.1138,0.046499997,-0.0309,-1.624,-9.3726,2.3845,0.008080875,0.07918559,-0.012601277,-0.261522,-0.556802,0.760355,0.208414,0
120,-1.646052,-9.51292,2.2803814,-0.022,-0.0806,-0.1169,-1.6254,-9.3729,2.3822,-0.007295476,0.029618237,-0.009738937,-0.262357,-0.556512,0.760016,0.209373,0
160,-1.6259503,-9.439801,2.4385328,0.085,-0.089099996,0.0444,-1.6247,-9.3742,2.3776999,8.03E-04,0.02766347,-0.009686577,-0.262665,-0.556572,0.759768,0.20972499,0
200,-1.6551882,-9.409155,2.2843268,-0.0022,-0.020499999,-0.063,-1.6256,-9.3742,2.3773,0.01569051,0.03541273,-4.71E-04,-0.263054,-0.556407,0.759632,0.21017,0
240,-1.7322145,-9.424037,2.2748365,-0.1182,-0.0208,-0.1118,-1.6272999,-9.373899,2.3771,-0.016563175,0.004276057,0.011117747,-0.263354,-0.556276,0.759551,0.210433,0
280,-1.5223676,-9.379199,2.366697,0.132,-0.0197,-0.0256,-1.6323999,-9.375,2.3693,-0.021554817,-0.008412487,5.59E-04,-0.263596,-0.556517,0.759376,0.210124,0
320,-1.6520088,-9.452174,2.3293188,-0.0058,-0.076699995,0.020399999,-1.6317999,-9.3768,2.3625,-0.010925761,-0.006789331,0.002932153,-0.263508,-0.556973,0.759149,0.209848,0
360,-1.518326,-9.494791,2.2209477,0.1017,-0.0938,-0.16579999,-1.6315999,-9.3793,2.3527,-0.052307516,-0.013072516,-0.006754424,-0.263591,-0.557282,0.758935,0.209695,0
401,-1.4081067,-9.397041,2.2205741,0.25509998,-0.030299999,-0.1105,-1.6279999,-9.384,2.3365998,-0.10855948,-0.006440265,-0.03981096,-0.263518,-0.55805,0.758474,0.209414,0
440,-1.523622,-9.669041,2.1875916,0.0779,-0.2956,-0.12539999,-1.6078,-9.4031,2.273,-0.16634732,-0.05222025,-0.071750484,-0.263776,-0.560826,0.756297,0.209543,0
480,-1.504344,-9.46517,2.1047714,0.0179,-0.031799998,-0.1083,-1.5771999,-9.4217,2.2166998,-0.18135716,-0.09129817,-0.050230574,-0.262758,-0.563856,0.754547,0.209004,0
520,-1.0734355,-9.486076,1.8094227,0.3636,-0.0092,-0.25509998,-1.5502,-9.4443,2.1378999,-0.33623767,0.006544985,-0.0596379,-0.26190498,-0.567801,0.752223,0.207768,0
561,-0.9200151,-9.4402895,1.4065074,0.61719996,0.0539,-0.5053,-1.5292,-9.4683,2.0449998,-0.48827332,-0.1478992,-0.19275416,-0.262254,-0.571799,0.749206,0.207262,0
600,-1.742701,-9.679125,1.4376415,-0.31599998,-0.1318,-0.29909998,-1.3902,-9.537399,1.8093,-0.53693306,-0.5166873,-0.27602383,-0.256534,-0.584755,0.74197,0.204283,0
640,-1.1112926,-9.580829,0.9744688,0.0508,-0.0177,-0.71599996,-1.2373999,-9.5927,1.6182,-0.8299215,-1.2530941,-0.42774528,-0.246069,-0.597447,0.737096,0.197979,0
680,-0.6847513,-9.217408,2.2113326,0.2006,0.4359,0.7012,-0.9655,-9.664,1.3580999,-0.7054621,-1.6241336,-0.8922472,-0.223617,-0.61705,0.731381,0.185268,0
720,-0.32577422,-9.736299,2.087964,0.124299996,0.0178,0.969,-0.49699998,-9.726299,1.1491,-0.51098007,-1.1533484,-1.4940542,-0.190192,-0.636582,0.726096,0.177128,0
760,-0.7932373,-10.611083,1.3340108,-0.8185,-0.57809997,0.5259,0.1418,-9.757999,0.96459997,-0.39856339,0.14081316,-1.3756859,-0.158474,-0.65246,0.717511,0.18536,0
801,1.0658315,-10.858777,0.9431718,-0.29999998,-1.4812,-0.0537,0.5451,-9.757199,0.8186,-0.20804325,0.6771354,0.4431391,-0.150484,-0.660011,0.707367,0.203397,0
840,1.1768554,-8.978706,1.0300335,1.4663999,0.90169996,0.4685,0.3967,-9.7669,0.78669995,0.23218115,0.706806,-0.12805481,-0.164899,-0.657796,0.705024,0.207492,0
880,0.5070632,-9.817558,0.3972172,-0.047799997,-0.1362,-0.4949,0.4107,-9.758599,0.87729996,0.029094638,0.31642818,-0.0752586,-0.171546,-0.652562,0.705286,0.217497,0
920,0.27485436,-9.723485,0.95312214,-0.1753,0.0407,0.0492,0.4303,-9.7591,0.8627,-0.19504054,0.09588839,-0.026703538,-0.174216,-0.652425,0.703513,0.22149,0
960,0.7338132,-9.991014,0.68881184,0.2741,-0.20889999,-0.0061,0.4319,-9.764299,0.80039996,-0.06914994,-0.060178954,-0.011728613,-0.176008,-0.654376,0.701024,0.22221,0
1000,0.72258925,-9.91144,0.75900984,0.2392,-0.1187,-0.1256,0.4373,-9.7663,0.77279997,-0.060178954,-0.023387412,0.006161012,-0.17520499,-0.655665,0.700352,0.22116,0
1041,0.20841047,-9.940467,1.1674318,-0.1326,-0.137,0.4987,0.4366,-9.7676,0.7564,0.04277802,-0.05518731,0.019477874,-0.174889,-0.656387,0.699986,0.220426,0
1080,0.017678786,-9.906546,0.64519906,-0.427,-0.1276,-0.0905,0.427,-9.7671995,0.7672,-0.048712138,0.09929178,0.03211406,-0.175038,-0.65593,0.700475,0.220116,0
1121,0.1598369,-9.658191,0.6662393,-0.2653,0.060799997,-0.100499995,0.41239998,-9.7692995,0.7478,-0.045396015,-0.060720004,0.016685348,-0.176654,-0.65625,0.699682,0.22038999,0
1160,0.13180558,-9.728178,0.66393125,-0.33049998,0.0427,-0.101799995,0.40899998,-9.7709,0.7295,-0.029181905,-0.1699427,0.022043508,-0.175954,-0.657149,0.699447,0.219014,0
1200,0.42879197,-9.72222,0.7419727,-0.002,0.0539,-0.017199999,0.4041,-9.7723,0.71349996,-0.03663446,-0.27810076,0.02713987,-0.17352399,-0.658414,0.69988,0.215748,0
1241,0.41919598,-9.853423,0.8326842,-0.0274,-0.0229,0.060599998,0.4001,-9.7738,0.69439995,-0.03668682,-0.2080258,0.03265511,-0.170671,-0.65989697,0.700318,0.212039,0
1280,0.44723687,-9.853366,0.7622468,0.036199998,-0.090799995,0.1282,0.3951,-9.7746,0.6857,0.040317107,-0.17083283,0.026092673,-0.167989,-0.660921,0.70101297,0.208666,0
1320,0.77599907,-9.889911,0.41723272,0.32,-0.0814,-0.2746,0.38599998,-9.7741995,0.69629997,-0.009372418,0.002548181,0.04096288,-0.166475,-0.660894,0.702008,0.20661,0
