Timestamp,Milliseconds,X,Y,Z
2022-10-21 15:22:43,2,-0.295,0.051,2.274
2022-10-21 15:22:43,42,0.309,0.201,-0.82
2022-10-21 15:22:43,82,-0.011,0.127,0.51
2022-10-21 15:22:43,123,-0.095,-0.042,0.048
2022-10-21 15:22:43,162,-0.158,-0.029,-0.425
2022-10-21 15:22:43,202,-0.057,-0.102,0.294
2022-10-21 15:22:43,242,-0.214,-0.06,-0.047
2022-10-21 15:22:43,282,0.146,-0.133,0.332
2022-10-21 15:22:44,323,-0.008,0.012,-0.114
2022-10-21 15:22:44,362,0.104,-0.036,-0.138
2022-10-21 15:22:44,402,-0.337,0.0,-0.436
2022-10-21 15:22:44,442,-0.062,-0.122,0.797
2022-10-21 15:22:44,483,0.073,0.054,-0.397
2022-10-21 15:22:44,522,-0.018,-0.087,0.147
2022-10-21 15:22:44,562,-0.239,0.097,-0.234
2022-10-21 15:22:44,602,0.186,-0.162,0.581
2022-10-21 15:22:44,642,-0.462,0.085,-0.45
2022-10-21 15:22:44,683,0.029,-0.134,0.392
2022-10-21 15:22:44,722,0.197,0.116,-0.287
2022-10-21 15:22:44,762,-0.087,0.02,0.119
2022-10-21 15:22:44,802,0.462,0.114,0.021
2022-10-21 15:22:44,842,0.151,0.011,0.701
2022-10-21 15:22:44,883,0.333,0.061,-0.453
2022-10-21 15:22:44,922,-0.263,0.074,0.43
2022-10-21 15:22:44,962,0.174,-0.043,-0.331
2022-10-21 15:22:44,1002,-0.547,-0.159,0.701
2022-10-21 15:22:44,1042,0.018,0.076,-0.779
2022-10-21 15:22:44,1083,-0.192,-0.137,0.404
2022-10-21 15:22:44,1122,0.359,0.034,0.024
2022-10-21 15:22:44,1162,0.007,0.14,0.054
2022-10-21 15:22:44,1202,0.171,0.114,-0.162
2022-10-21 15:22:44,1242,-0.274,0.103,0.205
2022-10-21 15:22:44,1283,0.117,-0.098,-0.338
2022-10-21 15:22:45,1322,-0.279,-0.01,0.149
2022-10-21 15:22:45,1362,-0.118,-0.083,0.026
2022-10-21 15:22:45,1402,-0.011,-0.081,0.256
2022-10-21 15:22:45,1442,0.04,0.011,0.011
2022-10-21 15:22:45,1483,-0.053,0.025,0.161
2022-10-21 15:22:45,1522,0.164,0.083,-0.069
2022-10-21 15:22:45,1562,-0.332,0.053,0.026
2022-10-21 15:22:45,1602,0.13,-0.063,0.175
2022-10-21 15:22:45,1642,0.004,0.001,-0.055
2022-10-21 15:22:45,1683,0.162,-0.039,0.121
2022-10-21 15:22:45,1722,0.066,-0.008,-0.081
2022-10-21 15:22:45,1762,-0.021,0.028,0.054
2022-10-21 15:22:45,1802,-0.022,-0.079,-0.066
2022-10-21 15:22:45,1842,-0.018,-0.017,-0.026
2022-10-21 15:22:45,1883,-0.076,-0.027,0.109
2022-10-21 15:22:45,1922,-0.111,0.063,-0.027
2022-10-21 15:22:45,1962,0.504,0.05,-0.026
2022-10-21 15:22:45,2002,-0.14,0.163,-0.054
2022-10-21 15:22:45,2042,0.066,-0.109,0.203
2022-10-21 15:22:45,2083,-0.165,-0.005,-0.11
2022-10-21 15:22:45,2122,-0.369,-0.097,0.227
2022-10-21 15:22:45,2162,0.001,-0.069,0.361
2022-10-21 15:22:45,2202,-0.059,0.022,-0.316
2022-10-21 15:22:45,2242,-0.009,0.021,0.119
2022-10-21 15:22:45,2283,0.202,0.118,-0.206
2022-10-21 15:22:46,2322,-0.062,0.033,0.405
2022-10-21 15:22:46,2362,-0.033,-0.01,-0.396
2022-10-21 15:22:46,2402,0.045,-0.104,0.499
2022-10-21 15:22:46,2442,0.15,-0.023,-0.072
2022-10-21 15:22:46,2482,-0.003,-0.028,-0.179
2022-10-21 15:22:46,2522,-0.002,-0.076,0.091
2022-10-21 15:22:46,2562,0.059,-0.052,0.049
2022-10-21 15:22:46,2602,-0.156,0.047,0.306
2022-10-21 15:22:46,2642,0.122,0.043,-0.277
2022-10-21 15:22:46,2683,-0.089,0.015,0.225
2022-10-21 15:22:46,2722,0.027,0.054,-0.536
2022-10-21 15:22:46,2762,-0.124,-0.036,0.4
2022-10-21 15:22:46,2802,0.088,-0.04,0.384
2022-10-21 15:22:46,2842,0.033,0.043,-0.09
2022-10-21 15:22:46,2883,0.003,0.039,0.018
2022-10-21 15:22:46,2922,-0.252,0.074,0.1
2022-10-21 15:22:46,2962,0.087,-0.01,-0.115
2022-10-21 15:22:46,3002,-0.212,0.009,0.183
