time(ms),acc.x,acc.y,acc.z,acclinear.x,acclinear.y,acclinear.z,gravity.x,gravity.y,gravity.z,gyroscope.x,gyroscope.y,gyroscope.z,RV.x,RV.y,RV.z,RV.cos,RV.heading
1,-0.62895006,0.88695,12.048,-0.295,0.051,2.274,-0.33,0.834,9.765,-0.0133375,-0.39214998,0.0924,0.023808,-0.039127,-0.984653,0.168401,0
40,0.28305,1.1880001,8.86905,0.309,0.201,-0.82,-0.037,0.997,9.755,0.007975,0.0339625,0.0081125,0.010483,-0.049845,-0.984324,0.168851,0
80,-0.094950005,1.10895,10.2640505,-0.011,0.127,0.51,-0.097,0.961,9.758,-0.09955,0.156475,-0.0578875,0.013274,-0.047462,-0.984609,0.167678,0
121,-0.19995001,0.93405,9.88395,-0.095,-0.042,0.048,-0.108,0.968,9.758,0.1293875,-0.062975,-0.0226875,0.013745,-0.047841,-0.984712,0.166924,0
160,-0.30795002,0.96795005,9.312,-0.158,-0.029,-0.425,-0.127,0.997,9.754,-0.027224999,0.1203125,-2.75E-04,0.01494,-0.049095,-0.984637,0.1669,0
200,-0.24105,0.87195003,10.05105,-0.057,-0.102,0.294,-0.187,0.96,9.757,-0.06875,0.1436875,-0.0088,0.017647,-0.046753,-0.984633,0.167333,0
241,-0.43005002,0.88905007,9.723001,-0.214,-0.06,-0.047,-0.207,0.945,9.758,-0.0122375,-0.104499996,0.0199375,0.018436,-0.04583,-0.984608,0.167647,0
280,-0.025050001,0.78105,10.102051,0.146,-0.133,0.332,-0.173,0.936,9.76,0.034649998,-0.0149875,0.0358875,0.016791,-0.045634,-0.984529,0.168335,0
320,-0.17595,0.96795005,9.670951,-0.008,0.012,-0.114,-0.141,0.968,9.757,0.1060125,-0.1417625,0.015675,0.015471,-0.047511,-0.984443,0.168447,0
362,-0.009000001,0.97005004,9.616051,0.104,-0.036,-0.138,-0.104,1.003,9.754,0.0889625,-0.0704,-0.0067375,0.013867,-0.049673,-0.984356,0.168473,0
400,-0.483,1.0690501,9.276,-0.337,0,-0.436,-0.097,1.021,9.752,-0.10175,-0.05335,0.0177375,0.013655,-0.050477,-0.984541,0.167166,0
440,-0.15705001,0.855,10.564051,-0.062,-0.122,0.797,-0.087,0.966,9.758,-5.50E-04,-0.0672375,0.0603625,0.01272,-0.047885,-0.984514,0.168152,0
480,0.06705,1.0710001,9.364051,0.073,0.054,-0.397,-0.014,1.009,9.754,0.0867625,-0.2046,0.055,0.00965,-0.050548,-0.984243,0.169161,0
520,0.00705,0.915,9.88395,-0.018,-0.087,0.147,0.018,1.013,9.754,-0.0207625,0.037125,0.0540375,0.007879,-0.051116,-0.984131,0.169736,0
560,-0.25005,1.11405,9.53205,-0.239,0.097,-0.234,-0.005,1.006,9.754,-0.034649998,0.021175,0.0710875,0.009435,-0.050658,-0.984002,0.170537,0
600,0.21300001,0.83895004,10.34805,0.186,-0.162,0.581,0.017,0.993,9.756,0.03135,-0.20253749,0.0785125,0.007642,-0.050183,-0.98376,0.172159,0
640,-0.41595003,1.0849501,9.307051,-0.462,0.085,-0.45,0.067,1.017,9.753,0.0270875,-0.048125,0.0881375,0.005571,-0.051767,-0.983577,0.172815,0
681,0.079050004,0.87000006,10.152,0.029,-0.134,0.392,0.066,1.006,9.754,-0.010175,-0.044825,0.1626625,0.00572,-0.051166,-0.98305,0.175955,0
720,0.30900002,1.143,9.46695,0.197,0.116,-0.287,0.102,1.013,9.753,0.0122375,-0.077825,0.1093125,0.004023,-0.051878,-0.982552,0.178557,0
760,0.028950002,1.0180501,9.838051,-0.087,0.02,0.119,0.101,1.001,9.754,-0.0889625,0.0743875,0.082775,0.004148,-0.05122,-0.982277,0.180252,0
800,0.55995005,1.1040001,9.805051,0.462,0.114,0.021,0.095,0.974,9.757,-0.0900625,0.0499125,0.081675,0.004257,-0.049819,-0.982031,0.181972,0
841,0.24195,0.98505,10.497001,0.151,0.011,0.701,0.107,0.955,9.759,0.0196625,-0.061875,0.0273625,0.003542,-0.04898,-0.981905,0.182891,0
880,0.49095002,1.06605,9.333,0.333,0.061,-0.453,0.143,0.987,9.755,0.0218625,0.0072875,-0.003575,0.002071,-0.0509,-0.981668,0.183661,0
920,-0.171,1.06605,10.152,-0.263,0.074,0.43,0.086,0.974,9.757,-0.03575,0.1596375,-0.020624999,0.004808,-0.049703,-0.981722,0.183649,0
960,0.30900002,0.94605005,9.450001,0.174,-0.043,-0.331,0.098,0.983,9.756,0.023924999,-0.048125,-0.09405,0.004302,-0.050259,-0.981728,0.183477,0
1000,-0.51900005,0.81705004,10.461,-0.547,-0.159,0.701,0.016,0.963,9.759,-0.010175,0.2715625,-0.017324999,0.008452,-0.048459,-0.981907,0.182858,0
1040,0.031050002,1.09305,9.016951,0.018,0.076,-0.779,-0.004,0.999,9.755,0.0985875,-0.1621125,0.03795,0.009654,-0.050131,-0.9816,0.183997,0
1080,-0.13305001,0.87000006,10.10595,-0.192,-0.137,0.404,0.042,0.995,9.755,-0.043175,-0.044825,0.0092125,0.007242,-0.050337,-0.981577,0.18417,0
1120,0.40695003,1.0210501,9.826051,0.359,0.034,0.024,0.048,1,9.755,0.077275,0.0584375,0.0284625,0.007099,-0.050732,-0.98135,0.185277,0
1160,-0.043950003,1.18605,9.831,0.007,0.14,0.054,0.033,1.031,9.752,0.0463375,-0.064075,0.022,0.008084,-0.052044,-0.981241,0.185448,0
1200,0.25605002,1.1689501,9.592051,0.171,0.114,-0.162,0.073,1.042,9.75,-0.0154,0.1340625,-0.0930875,0.006176,-0.053024,-0.981343,0.184702,0
1240,-0.31695002,1.143,9.979951,-0.274,0.103,0.205,0.015,1.04,9.751,0.0111375,-0.0501875,0.0039875,0.008941,-0.052409,-0.981607,0.183359,0
1280,0.20400001,0.94395006,9.42405,0.117,-0.098,-0.338,0.059,1.051,9.749,0.0059125,-0.011825,-0.0215875,0.006877,-0.053351,-0.981503,0.18373,0
1320,-0.27405003,1.014,9.87405,-0.279,-0.01,0.149,0.006,1.031,9.752,-0.0485375,0.11275,-0.0067375,0.009457,-0.051787,-0.981579,0.18366,0
1360,-0.11895001,0.94395006,9.781051,-0.118,-0.083,0.026,0.011,1.022,9.753,-0.026124999,-0.104499996,0.015675,0.009043,-0.051415,-0.98156,0.183885,0
1400,-0.066,0.915,10.04895,-0.011,-0.081,0.256,-0.001,1.007,9.754,0.0026125,0.0435875,0.083875,0.009611,-0.050516,-0.981426,0.184819,0
1441,0.11505,1.02495,9.77595,0.04,0.011,0.011,0.012,1.009,9.754,0.00165,-0.02255,0.0103125,0.008937,-0.050798,-0.981138,0.186295,0
1480,-0.11400001,1.03005,9.92895,-0.053,0.025,0.161,-0.015,1.009,9.754,0.0026125,0.0947375,0.065725,0.01042,-0.050503,-0.980966,0.187207,0
1520,0.18405001,1.1020501,9.678,0.164,0.083,-0.069,-0.014,1.019,9.753,0.0100375,0.0297,-0.013062499,0.010561,-0.050986,-0.98075,0.188193,0
1560,-0.40395,1.095,9.781051,-0.332,0.053,0.026,-0.034,1.022,9.753,-0.0059125,0.01485,0.0209,0.011563,-0.05095,-0.980838,0.187687,0
1601,0.096,0.97305006,9.934051,0.13,-0.063,0.175,-0.035,1.017,9.753,0.0048125,0.0072875,0.0572,0.011561,-0.05066,-0.980756,0.188194,0
1640,-0.042000003,1.014,9.70695,0.004,0.001,-0.055,-0.031,1.02,9.753,0.0133375,-0.01925,0.03795,0.011418,-0.050861,-0.980681,0.188538,0
1680,0.14805001,0.966,9.91005,0.162,-0.039,0.121,-0.012,1.019,9.753,0.025024999,0.0265375,0.0114125,0.010471,-0.051016,-0.980662,0.188651,0
1720,0.031050002,1.0210501,9.666,0.066,-0.008,-0.081,-0.026,1.03,9.752,0.006875,0.0265375,0.015675,0.011244,-0.05141,-0.980646,0.188581,0
1760,-0.054,1.0350001,9.826051,-0.021,0.028,0.054,-0.032,1.033,9.751,0.0506,0.01375,-0.013062499,0.01165,-0.051565,-0.980535,0.189089,0
1801,-0.034950003,1.00605,9.667951,-0.022,-0.079,-0.066,-0.031,1.046,9.75,-0.0165,0.021175,-0.0121,0.011702,-0.052138,-0.980492,0.189154,0
1840,-0.094950005,1.02795,9.73995,-0.018,-0.017,-0.026,-0.049,1.039,9.751,0.0133375,-0.0235125,0.014575,0.012572,-0.051622,-0.980442,0.189497,0
1880,-0.079950005,1.0159501,9.832951,-0.076,-0.027,0.109,-0.018,1.035,9.751,-0.044275,-0.0097625,-0.02805,0.010972,-0.051717,-0.980417,0.189702,0
1920,-0.19800001,1.09305,9.786,-0.111,0.063,-0.027,-0.037,1.026,9.752,0.0356125,-0.0320375,0.03795,0.011846,-0.05112,-0.98033,0.19026,0
1961,0.50505,1.09695,9.726001,0.504,0.05,-0.026,0,1.038,9.751,-0.043175,0.0169125,-0.020624999,0.009534,-0.052187,-0.980256,0.190482,0
2000,-0.17895001,1.19505,9.714001,-0.14,0.163,-0.054,-0.023,1.035,9.751,-0.0133375,0.0286,-0.0556875,0.011198,-0.051671,-0.980441,0.189575,0
2040,0.08400001,0.91095006,9.964951,0.066,-0.109,0.203,0.001,1.021,9.753,-0.0389125,-0.044825,-0.06215,0.009762,-0.05121,-0.980616,0.188876,0
2080,-0.19995001,1.0180501,9.655951,-0.165,-0.005,-0.11,-0.024,1.013,9.754,0.0122375,0.0402875,-0.054725,0.010978,-0.050562,-0.980806,0.187992,0
2121,-0.423,0.90795004,9.99195,-0.369,-0.097,0.227,-0.052,0.996,9.755,-0.109175,0.0606375,-0.0334125,0.012166,-0.049476,-0.980987,0.187263,0
2160,-0.12795001,0.88695,10.18095,0.001,-0.069,0.361,-0.097,0.969,9.758,0.0548625,0.037125,0.0507375,0.014175,-0.047665,-0.980944,0.187814,0
2200,-0.14505,1.0330501,9.450001,-0.059,0.022,-0.316,-0.076,0.998,9.755,0.025024999,-0.0576125,0.0177375,0.013372,-0.049365,-0.980826,0.188053,0
2240,-0.10395,1.0350001,9.89295,-0.009,0.021,0.119,-0.071,0.999,9.755,0.0185625,-0.014025,0.0518375,0.013236,-0.049423,-0.980709,0.188658,0
2280,0.16305001,1.131,9.55305,0.202,0.118,-0.206,-0.052,1.011,9.754,-0.0122375,-0.012925,0.0433125,0.012449,-0.050209,-0.98044,0.189896,0
2321,-0.12795001,1.04205,10.173,-0.062,0.033,0.405,-0.059,1.001,9.755,-0.0154,0.04675,0.0103125,0.012739,-0.049617,-0.980355,0.190471,0
2360,-0.08505,1.023,9.38595,-0.033,-0.01,-0.396,-0.061,1.018,9.753,0.0207625,-0.0044,0.0103125,0.013022,-0.050431,-0.980212,0.190974,0
2400,-0.05595,0.91800004,10.18095,0.045,-0.104,0.499,-0.086,0.99,9.756,-0.0889625,0.1032625,0.029424999,0.014024,-0.04877,-0.980148,0.19166,0
