Timestamp,Milliseconds,X,Y,Z
2022-10-21 15:31:17,1,0.159,1.152,9.737
2022-10-21 15:31:17,40,0.219,1.194,9.731
2022-10-21 15:31:17,80,0.187,1.169,9.734
2022-10-21 15:31:17,120,0.163,1.162,9.736
2022-10-21 15:31:17,160,0.206,1.206,9.729
2022-10-21 15:31:17,201,0.19,1.221,9.728
2022-10-21 15:31:17,240,0.213,1.25,9.724
2022-10-21 15:31:17,280,0.195,1.291,9.719
2022-10-21 15:31:17,320,0.229,1.326,9.713
2022-10-21 15:31:18,360,0.235,1.324,9.713
2022-10-21 15:31:18,401,0.24,1.321,9.714
2022-10-21 15:31:18,440,0.217,1.296,9.718
2022-10-21 15:31:18,480,0.236,1.303,9.716
2022-10-21 15:31:18,520,0.237,1.336,9.712
2022-10-21 15:31:18,560,0.272,1.352,9.709
2022-10-21 15:31:18,600,0.359,1.406,9.698
2022-10-21 15:31:18,641,0.385,1.435,9.693
2022-10-21 15:31:18,680,0.402,1.45,9.69
2022-10-21 15:31:18,720,0.365,1.417,9.696
2022-10-21 15:31:18,760,0.347,1.43,9.695
2022-10-21 15:31:18,800,0.345,1.438,9.694
2022-10-21 15:31:18,841,0.363,1.464,9.689
2022-10-21 15:31:18,880,0.368,1.453,9.691
2022-10-21 15:31:18,920,0.371,1.45,9.691
2022-10-21 15:31:18,960,0.351,1.467,9.689
2022-10-21 15:31:18,1000,0.367,1.468,9.689
2022-10-21 15:31:18,1040,0.382,1.485,9.685
2022-10-21 15:31:18,1081,0.372,1.487,9.685
2022-10-21 15:31:18,1120,0.36,1.488,9.686
2022-10-21 15:31:18,1160,0.347,1.473,9.689
2022-10-21 15:31:18,1200,0.351,1.466,9.69
2022-10-21 15:31:18,1240,0.318,1.477,9.689
2022-10-21 15:31:18,1281,0.332,1.49,9.687
2022-10-21 15:31:18,1320,0.294,1.458,9.693
2022-10-21 15:31:19,1360,0.286,1.445,9.695
2022-10-21 15:31:19,1400,0.293,1.449,9.694
2022-10-21 15:31:19,1440,0.273,1.43,9.697
2022-10-21 15:31:19,1480,0.257,1.428,9.698
2022-10-21 15:31:19,1520,0.251,1.402,9.702
2022-10-21 15:31:19,1561,0.23,1.352,9.71
2022-10-21 15:31:19,1600,0.2,1.356,9.71
2022-10-21 15:31:19,1640,0.187,1.357,9.71
2022-10-21 15:31:19,1680,0.161,1.349,9.711
2022-10-21 15:31:19,1720,0.155,1.346,9.712
2022-10-21 15:31:19,1760,0.147,1.332,9.714
2022-10-21 15:31:19,1801,0.15,1.383,9.707
2022-10-21 15:31:19,1840,0.115,1.369,9.709
2022-10-21 15:31:19,1880,0.106,1.365,9.71
2022-10-21 15:31:19,1920,0.085,1.335,9.714
2022-10-21 15:31:19,1960,0.112,1.331,9.715
2022-10-21 15:31:19,2001,0.131,1.323,9.716
2022-10-21 15:31:19,2040,0.16,1.346,9.712
2022-10-21 15:31:19,2080,0.148,1.346,9.712
2022-10-21 15:31:19,2121,0.132,1.287,9.72
2022-10-21 15:31:19,2160,0.121,1.26,9.724
2022-10-21 15:31:19,2200,0.185,1.233,9.726
2022-10-21 15:31:19,2240,0.198,1.222,9.728
2022-10-21 15:31:19,2280,0.207,1.216,9.728
2022-10-21 15:31:19,2321,0.219,1.24,9.725
2022-10-21 15:31:20,2360,0.198,1.236,9.726
2022-10-21 15:31:20,2400,0.2,1.24,9.725
2022-10-21 15:31:20,2440,0.186,1.258,9.723
2022-10-21 15:31:20,2480,0.179,1.25,9.724
2022-10-21 15:31:20,2520,0.172,1.247,9.725
2022-10-21 15:31:20,2561,0.253,1.272,9.72
2022-10-21 15:31:20,2600,0.283,1.291,9.717
2022-10-21 15:31:20,2640,0.277,1.277,9.719
2022-10-21 15:31:20,2680,0.267,1.266,9.72
2022-10-21 15:31:20,2720,0.224,1.246,9.724
2022-10-21 15:31:20,2760,0.2,1.26,9.723
2022-10-21 15:31:20,2800,0.166,1.265,9.723
2022-10-21 15:31:20,2840,0.151,1.269,9.722
2022-10-21 15:31:20,2880,0.174,1.27,9.722
2022-10-21 15:31:20,2921,0.242,1.295,9.717
2022-10-21 15:31:20,2960,0.212,1.278,9.72
2022-10-21 15:31:20,3000,0.18,1.262,9.723
2022-10-21 15:31:20,3040,0.201,1.288,9.719
2022-10-21 15:31:20,3080,0.169,1.265,9.723
2022-10-21 15:31:20,3120,0.168,1.249,9.725
2022-10-21 15:31:20,3161,0.159,1.241,9.726
2022-10-21 15:31:20,3200,0.158,1.242,9.726
2022-10-21 15:31:20,3240,0.165,1.252,9.724
2022-10-21 15:31:20,3280,0.165,1.252,9.724
2022-10-21 15:31:20,3320,0.19,1.286,9.72
2022-10-21 15:31:21,3361,0.167,1.245,9.725
2022-10-21 15:31:21,3400,0.167,1.261,9.723
2022-10-21 15:31:21,3440,0.19,1.273,9.721
2022-10-21 15:31:21,3480,0.153,1.219,9.729
2022-10-21 15:31:21,3520,0.166,1.255,9.724
2022-10-21 15:31:21,3561,0.17,1.244,9.725
2022-10-21 15:31:21,3600,0.128,1.218,9.729
2022-10-21 15:31:21,3640,0.099,1.236,9.727
2022-10-21 15:31:21,3680,0.055,1.188,9.734
2022-10-21 15:31:21,3720,0.004,1.157,9.738
2022-10-21 15:31:21,3761,-0.012,1.215,9.731
2022-10-21 15:31:21,3800,-0.048,1.206,9.732
2022-10-21 15:31:21,3840,-0.047,1.262,9.724
2022-10-21 15:31:21,3880,-0.052,1.411,9.704
2022-10-21 15:31:21,3920,-0.08,1.452,9.698
2022-10-21 15:31:21,3961,-0.081,1.482,9.693
2022-10-21 15:31:21,4000,-0.073,1.529,9.686
2022-10-21 15:31:21,4040,-0.083,1.572,9.679
2022-10-21 15:31:21,4080,-0.052,1.652,9.666
2022-10-21 15:31:21,4120,0.063,1.688,9.659
2022-10-21 15:31:21,4160,0.123,1.532,9.685
2022-10-21 15:31:21,4201,0.06,1.424,9.702
2022-10-21 15:31:21,4240,0.074,1.544,9.683
2022-10-21 15:31:21,4280,0.042,1.718,9.654
2022-10-21 15:31:21,4320,-0.052,1.802,9.639
2022-10-21 15:31:22,4360,-0.076,1.705,9.656
2022-10-21 15:31:22,4401,-0.074,1.457,9.697
2022-10-21 15:31:22,4440,-0.087,1.352,9.712
2022-10-21 15:31:22,4480,-0.059,1.412,9.704
2022-10-21 15:31:22,4520,0.041,1.524,9.687
2022-10-21 15:31:22,4560,0.124,1.523,9.686
2022-10-21 15:31:22,4601,0.158,1.51,9.688
2022-10-21 15:31:22,4640,0.139,1.527,9.685
2022-10-21 15:31:22,4680,0.125,1.544,9.683
2022-10-21 15:31:22,4720,0.103,1.565,9.68
2022-10-21 15:31:22,4760,0.091,1.642,9.667
2022-10-21 15:31:22,4801,0.085,1.728,9.652
2022-10-21 15:31:22,4840,0.074,1.812,9.637
2022-10-21 15:31:22,4880,0.049,1.889,9.622
2022-10-21 15:31:22,4920,0.086,1.979,9.604
2022-10-21 15:31:22,4960,0.133,1.908,9.618
2022-10-21 15:31:22,5000,0.084,1.714,9.655
2022-10-21 15:31:22,5041,0.063,1.71,9.656
2022-10-21 15:31:22,5080,0.111,1.823,9.634
2022-10-21 15:31:22,5120,0.106,1.831,9.633
2022-10-21 15:31:22,5160,0.093,1.754,9.648
2022-10-21 15:31:22,5200,0.023,1.688,9.66
2022-10-21 15:31:22,5240,-0.016,1.62,9.671
2022-10-21 15:31:22,5280,-0.063,1.568,9.68
2022-10-21 15:31:22,5320,-0.092,1.59,9.676
2022-10-21 15:31:23,5360,-0.097,1.582,9.677
2022-10-21 15:31:23,5400,-0.13,1.523,9.686
2022-10-21 15:31:23,5441,-0.157,1.521,9.686
2022-10-21 15:31:23,5480,-0.18,1.534,9.684
2022-10-21 15:31:23,5520,-0.188,1.559,9.68
2022-10-21 15:31:23,5560,-0.188,1.59,9.675
2022-10-21 15:31:23,5600,-0.219,1.609,9.671
2022-10-21 15:31:23,5640,-0.185,1.615,9.67
2022-10-21 15:31:23,5681,-0.181,1.607,9.672
2022-10-21 15:31:23,5720,-0.192,1.642,9.666
2022-10-21 15:31:23,5760,-0.103,1.671,9.662
2022-10-21 15:31:23,5800,0.014,1.512,9.689
2022-10-21 15:31:23,5840,0.001,1.4,9.706
2022-10-21 15:31:23,5880,-0.049,1.479,9.694
2022-10-21 15:31:23,5921,-0.088,1.632,9.669
2022-10-21 15:31:23,5960,-0.06,1.684,9.66
2022-10-21 15:31:23,6000,-0.038,1.582,9.678
2022-10-21 15:31:23,6040,-0.097,1.475,9.694
2022-10-21 15:31:23,6081,-0.139,1.504,9.689
2022-10-21 15:31:23,6120,-0.117,1.551,9.682
2022-10-21 15:31:23,6160,-0.09,1.561,9.681
2022-10-21 15:31:23,6200,-0.074,1.513,9.688
2022-10-21 15:31:23,6240,-0.076,1.483,9.693
2022-10-21 15:31:23,6280,-0.051,1.473,9.695
2022-10-21 15:31:23,6320,-0.042,1.457,9.697
2022-10-21 15:31:24,6360,-0.04,1.474,9.695
2022-10-21 15:31:24,6401,-0.054,1.541,9.684
2022-10-21 15:31:24,6440,-0.088,1.578,9.678
2022-10-21 15:31:24,6480,-0.069,1.673,9.662
2022-10-21 15:31:24,6520,-0.08,1.758,9.647
2022-10-21 15:31:24,6560,0.023,1.729,9.652
2022-10-21 15:31:24,6601,0.029,1.548,9.683
2022-10-21 15:31:24,6640,-0.019,1.576,9.679
2022-10-21 15:31:24,6680,-0.037,1.701,9.657
2022-10-21 15:31:24,6720,-0.03,1.728,9.653
2022-10-21 15:31:24,6760,-0.079,1.632,9.669
2022-10-21 15:31:24,6801,-0.073,1.617,9.672
2022-10-21 15:31:24,6840,-0.099,1.624,9.67
2022-10-21 15:31:24,6880,-0.127,1.64,9.667
2022-10-21 15:31:24,6920,-0.127,1.649,9.666
