x,y,z,'20:76:93:4d:04:8a','bc:d1:77:1b:9b:ce','34:ce:00:42:20:73','50:fa:84:60:4d:36','dc:fe:18:c7:43:09','32:24:a9:f5:1f:81','bc:d1:77:1b:9b:d6','cc:08:fb:ad:22:7c','28:e4:24:30:f3:48','98:20:44:8c:68:e8','bc:d1:77:1b:b2:84','c4:a8:1d:89:6d:40','14:75:90:d1:84:32','8c:a6:df:ab:a7:b5','b4:0f:3b:89:53:e1','28:e4:24:2e:61:69','28:e4:24:2f:d0:e8','28:e4:24:30:ed:a9','38:d5:7a:5e:21:f4','48:0e:ec:5a:e4:4a','60:3a:7c:ee:eb:91','bc:d1:77:1b:9b:dc','28:e4:24:30:ed:a8','28:e4:24:30:f3:49','70:af:6a:4b:97:ab','98:20:44:1e:53:e8','00:0c:43:26:60:10','28:e4:24:30:db:29','98:20:44:1e:53:e9','d4:35:38:28:dd:0f','5c:02:14:6b:7a:4e','94:e9:ee:6f:cb:28','98:20:44:8c:68:e9','bc:d1:77:1b:9b:bc',
-1,-14,-3,-63.91666667,-64.83333333,-69.48333333,-74.13333333,-70.41666667,-78.3,-74.98333333,-79.33333333,-78.55357143,-82.18333333,-78.5,-75.98333333,-77,-77,-77,-81.26415094,-81.2,-79.2,-81.69230769,-78,-76.58333333,-79.05,-80.76666667,-79.32692308,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
-1,-1,0,-58.48333333,-63.9,-66,-100,-100,-78,-100,-79,-100,-100,-100,-74,-70,-100,-100,-70.9,-100,-100,-78,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
-1,1,0,-78.23333333,-70,-59.06666667,-100,-66.71666667,-79,-100,-100,-100,-100,-100,-81,-100,-81,-100,-68.58333333,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
-1,3,0,-70.33333333,-64.85,-60.93333333,-100,-57.28333333,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-71,-72.66666667,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
-1,5,0,-76.85,-75,-67.5,-100,-70.45,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-68.3,-80.76190476,-100,-100,-100,-100,-82.2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
-1,7,0,-68.41666667,-63.55,-75.90697674,-100,-68.09090909,-100,-100,-82,-100,-100,-78,-74,-73,-100,-100,-67.45454545,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
-1.5,-10,-3,-77.55,-76.96666667,-80.43333333,-75.46666667,-78.05,-77.5,-85.98333333,-86.24137931,-100,-83,-90,-73.96666667,-82.08333333,-84.44186047,-78.91489362,-100,-84,-80.13333333,-79,-89,-84.44827586,-85.45,-79.96428571,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
-1.5,-12,-3,-73.53333333,-62,-72.32075472,-73.13333333,-75.63636364,-76.2,-81.26666667,-82,-79,-82.66666667,-88,-69.06666667,-80,-76,-79,-100,-79.88888889,-100,-83.54716981,-100,-100,-78.66666667,-76.49090909,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
-1.5,-8,-3,-80,-79,-77,-79,-74.71666667,-77.75,-100,-100,-100,-100,-100,-74.08333333,-100,-100,-100,-100,-100,-76,-81,-100,-100,-100,-77.38333333,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
0,-8,-3,-80.61666667,-79,-79.07692308,-75.27272727,-78,-82.7,-100,-100,-77,-77,-100,-76.86666667,-78,-82.0877193,-100,-79,-100,-74.76271186,-100,-100,-85,-78.02325581,-82.31666667,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
