x,y,z,'20:76:93:4d:04:8a','bc:d1:77:1b:9b:ce','34:ce:00:42:20:73','50:fa:84:60:4d:36','dc:fe:18:c7:43:09','32:24:a9:f5:1f:81','bc:d1:77:1b:9b:d6','cc:08:fb:ad:22:7c','28:e4:24:30:f3:48','98:20:44:8c:68:e8','bc:d1:77:1b:b2:84','c4:a8:1d:89:6d:40','14:75:90:d1:84:32','8c:a6:df:ab:a7:b5','b4:0f:3b:89:53:e1','28:e4:24:2e:61:69','28:e4:24:2f:d0:e8','28:e4:24:30:ed:a9','38:d5:7a:5e:21:f4','48:0e:ec:5a:e4:4a','60:3a:7c:ee:eb:91','bc:d1:77:1b:9b:dc','28:e4:24:30:ed:a8','28:e4:24:30:f3:49','70:af:6a:4b:97:ab','98:20:44:1e:53:e8','00:0c:43:26:60:10','28:e4:24:30:db:29','98:20:44:1e:53:e9','d4:35:38:28:dd:0f','5c:02:14:6b:7a:4e','94:e9:ee:6f:cb:28','98:20:44:8c:68:e9','bc:d1:77:1b:9b:bc'
0,0,0,-69.62222222,-67,-57.54545455,-100,-59.78333333,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-79,-100,-100,-100,-100,-79,-100,-100,-100,-74.83333333,-57.63333333,-100,-100,-100,-100,-100,-100
0,1,0,-76.15,-100,-62.28333333,-100,-55.9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-71.58333333,-62.46666667,-100,-100,-100,-100,-100,-100
0,2,0,-69.3,-100,-61,-100,-55.95,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-76.92857143,-100,-100,-100,-100,-79.38095238,-100,-100,-100,-72.05,-57.76666667,-100,-100,-100,-82,-100,-100
0,3,0,-75.15,-100,-63.68333333,-100,-63.13333333,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-73,-78,-78,-100,-100,-100,-75.86666667,-59.5,-100,-100,-100,-82,-100,-80
0,4,0,-77.75,-77,-63.85,-100,-55.66666667,-100,-100,-100,-78,-100,-100,-100,-80,-100,-100,-100,-100,-74,-100,-100,-100,-100,-80.27027027,-100,-100,-100,-77.63333333,-57.8,-100,-100,-100,-100,-100,-100
0,5,0,-80.48333333,-76,-60.48837209,-100,-57.1,-100,-100,-100,-100,-100,-100,-100,-77.90697674,-100,-100,-100,-100,-74,-100,-100,-100,-79,-78,-100,-100,-100,-74.1,-61.11666667,-100,-100,-100,-100,-100,-100
0,6,0,-75.88333333,-100,-71,-100,-65.13333333,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-79,-82,-100,-100,-100,-76.55,-65.71666667,-100,-100,-100,-100,-100,-100
1,6,0,-79.16666667,-74,-64,-100,-66.43333333,-100,-100,-100,-100,-100,-100,-100,-79.59090909,-100,-100,-100,-100,-79,-100,-100,-100,-100,-79,-100,-79,-100,-74.83333333,-68.55,-100,-100,-100,-100,-100,-77
2,6,0,-76.11666667,-75.64864865,-62.36666667,-100,-62.23333333,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-78.96666667,-100,-100,-100,-100,-72.91666667,-59.08333333,-100,-100,-100,-100,-100,-100
3,6,0,-81.5,-72.81666667,-70.35,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-76.09302326,-77.45,-75,-100,-100,-100,-76.35,-64.6,-100,-100,-100,-100,-100,-76
