Timestamp,Milliseconds,X,Y,Z
2022-10-21 15:29:58,0,-0.429,0.287,9.793
2022-10-21 15:29:58,40,-0.252,0.42,9.794
2022-10-21 15:29:58,81,-0.365,0.437,9.79
2022-10-21 15:29:58,120,-0.342,0.44,9.79
2022-10-21 15:29:58,160,-0.35,0.419,9.791
2022-10-21 15:29:58,200,-0.375,0.386,9.791
2022-10-21 15:29:58,240,-0.389,0.402,9.79
2022-10-21 15:29:58,280,-0.345,0.389,9.792
2022-10-21 15:29:58,320,-0.37,0.365,9.792
2022-10-21 15:29:58,360,-0.366,0.374,9.792
2022-10-21 15:29:58,401,-0.378,0.353,9.792
2022-10-21 15:29:58,440,-0.408,0.326,9.792
2022-10-21 15:29:58,480,-0.403,0.371,9.791
2022-10-21 15:29:58,521,-0.453,0.369,9.789
2022-10-21 15:29:58,560,-0.44,0.376,9.789
2022-10-21 15:29:58,600,-0.371,0.393,9.791
2022-10-21 15:29:58,642,-0.37,0.399,9.791
2022-10-21 15:29:58,680,-0.341,0.44,9.79
2022-10-21 15:29:59,720,-0.324,0.416,9.792
2022-10-21 15:29:59,760,-0.335,0.41,9.792
2022-10-21 15:29:59,800,-0.335,0.43,9.791
2022-10-21 15:29:59,841,-0.349,0.442,9.79
2022-10-21 15:29:59,880,-0.346,0.413,9.791
2022-10-21 15:29:59,920,-0.331,0.427,9.791
2022-10-21 15:29:59,960,-0.344,0.45,9.79
2022-10-21 15:29:59,1000,-0.351,0.453,9.789
2022-10-21 15:29:59,1040,-0.366,0.448,9.789
2022-10-21 15:29:59,1081,-0.359,0.431,9.79
2022-10-21 15:29:59,1120,-0.341,0.422,9.791
2022-10-21 15:29:59,1160,-0.309,0.441,9.791
2022-10-21 15:29:59,1200,-0.3,0.45,9.791
2022-10-21 15:29:59,1240,-0.299,0.462,9.791
2022-10-21 15:29:59,1281,-0.285,0.45,9.792
2022-10-21 15:29:59,1320,-0.293,0.43,9.792
2022-10-21 15:29:59,1360,-0.313,0.452,9.791
2022-10-21 15:29:59,1400,-0.315,0.462,9.79
2022-10-21 15:29:59,1440,-0.342,0.437,9.79
2022-10-21 15:29:59,1481,-0.334,0.44,9.791
2022-10-21 15:29:59,1520,-0.338,0.448,9.79
2022-10-21 15:29:59,1560,-0.332,0.467,9.789
2022-10-21 15:29:59,1600,-0.317,0.457,9.79
2022-10-21 15:29:59,1640,-0.266,0.426,9.793
2022-10-21 15:29:59,1681,-0.252,0.412,9.794
2022-10-21 15:30:00,1720,-0.258,0.446,9.793
2022-10-21 15:30:00,1760,-0.163,0.489,9.793
2022-10-21 15:30:00,1800,-0.069,0.546,9.791
2022-10-21 15:30:00,1841,-0.044,0.538,9.791
2022-10-21 15:30:00,1880,-0.042,0.501,9.793
2022-10-21 15:30:00,1920,-0.009,0.504,9.793
2022-10-21 15:30:00,1960,0.005,0.528,9.792
2022-10-21 15:30:00,2000,0.004,0.534,9.792
2022-10-21 15:30:00,2041,0.005,0.57,9.79
2022-10-21 15:30:00,2080,0.029,0.595,9.788
2022-10-21 15:30:00,2120,0.053,0.665,9.783
2022-10-21 15:30:00,2160,0.037,0.667,9.783
2022-10-21 15:30:00,2201,0.0,0.616,9.787
2022-10-21 15:30:00,2240,-0.059,0.563,9.79
2022-10-21 15:30:00,2280,-0.014,0.606,9.787
2022-10-21 15:30:00,2320,-0.008,0.612,9.787
2022-10-21 15:30:00,2360,0.02,0.642,9.785
2022-10-21 15:30:00,2401,0.045,0.698,9.781
2022-10-21 15:30:00,2440,0.019,0.683,9.782
2022-10-21 15:30:00,2480,-0.06,0.642,9.785
2022-10-21 15:30:00,2520,-0.031,0.644,9.785
2022-10-21 15:30:00,2560,-0.037,0.682,9.782
2022-10-21 15:30:00,2600,-0.087,0.678,9.782
2022-10-21 15:30:00,2640,-0.084,0.67,9.783
2022-10-21 15:30:00,2680,-0.113,0.679,9.782
2022-10-21 15:30:01,2720,-0.093,0.728,9.779
2022-10-21 15:30:01,2760,-0.091,0.737,9.778
2022-10-21 15:30:01,2800,-0.113,0.745,9.777
2022-10-21 15:30:01,2841,-0.104,0.733,9.778
2022-10-21 15:30:01,2880,-0.09,0.723,9.779
2022-10-21 15:30:01,2920,-0.072,0.731,9.779
2022-10-21 15:30:01,2960,-0.081,0.736,9.778
2022-10-21 15:30:01,3000,-0.097,0.693,9.781
2022-10-21 15:30:01,3041,-0.109,0.675,9.782
2022-10-21 15:30:01,3080,-0.099,0.673,9.783
2022-10-21 15:30:01,3120,-0.096,0.686,9.782
2022-10-21 15:30:01,3160,-0.099,0.67,9.783
2022-10-21 15:30:01,3200,-0.106,0.607,9.787
2022-10-21 15:30:01,3241,-0.182,0.532,9.79
2022-10-21 15:30:01,3280,-0.142,0.544,9.79
2022-10-21 15:30:01,3320,-0.164,0.536,9.79
2022-10-21 15:30:01,3360,-0.189,0.531,9.79
2022-10-21 15:30:01,3400,-0.173,0.478,9.793
2022-10-21 15:30:01,3440,-0.147,0.457,9.794
2022-10-21 15:30:01,3480,-0.158,0.443,9.795
2022-10-21 15:30:01,3520,-0.155,0.433,9.795
2022-10-21 15:30:01,3560,-0.167,0.431,9.795
2022-10-21 15:30:01,3600,-0.152,0.466,9.794
2022-10-21 15:30:01,3640,-0.179,0.472,9.793
2022-10-21 15:30:01,3680,-0.173,0.501,9.792
2022-10-21 15:30:02,3720,-0.191,0.524,9.79
2022-10-21 15:30:02,3760,-0.253,0.495,9.79
2022-10-21 15:30:02,3800,-0.273,0.463,9.791
2022-10-21 15:30:02,3841,-0.226,0.464,9.793
2022-10-21 15:30:02,3880,-0.2,0.437,9.794
2022-10-21 15:30:02,3920,-0.189,0.395,9.796
2022-10-21 15:30:02,3960,-0.188,0.363,9.798
2022-10-21 15:30:02,4000,-0.132,0.384,9.798
2022-10-21 15:30:02,4041,-0.148,0.383,9.798
2022-10-21 15:30:02,4080,-0.163,0.406,9.796
2022-10-21 15:30:02,4120,-0.173,0.448,9.794
2022-10-21 15:30:02,4160,-0.188,0.475,9.793
2022-10-21 15:30:02,4201,-0.172,0.512,9.791
2022-10-21 15:30:02,4240,-0.125,0.524,9.791
2022-10-21 15:30:02,4280,-0.109,0.518,9.792
2022-10-21 15:30:02,4320,-0.13,0.491,9.793
2022-10-21 15:30:02,4360,-0.11,0.476,9.794
2022-10-21 15:30:02,4401,-0.105,0.51,9.792
2022-10-21 15:30:02,4440,-0.051,0.537,9.791
2022-10-21 15:30:02,4480,-0.079,0.51,9.793
2022-10-21 15:30:02,4520,-0.057,0.492,9.794
2022-10-21 15:30:02,4560,-0.067,0.466,9.795
2022-10-21 15:30:02,4601,-0.056,0.452,9.796
2022-10-21 15:30:02,4640,-0.052,0.481,9.794
2022-10-21 15:30:02,4680,-0.046,0.491,9.794
2022-10-21 15:30:03,4720,-0.073,0.474,9.794
2022-10-21 15:30:03,4760,-0.084,0.465,9.795
2022-10-21 15:30:03,4800,-0.096,0.465,9.795
2022-10-21 15:30:03,4841,-0.074,0.456,9.795
2022-10-21 15:30:03,4880,-0.074,0.455,9.795
2022-10-21 15:30:03,4920,-0.076,0.469,9.795
2022-10-21 15:30:03,4960,-0.059,0.492,9.794
2022-10-21 15:30:03,5000,-0.07,0.492,9.794
2022-10-21 15:30:03,5041,-0.076,0.521,9.792
2022-10-21 15:30:03,5080,-0.085,0.519,9.792
2022-10-21 15:30:03,5120,-0.073,0.526,9.792
2022-10-21 15:30:03,5160,-0.054,0.507,9.793
2022-10-21 15:30:03,5200,-0.023,0.537,9.791
2022-10-21 15:30:03,5241,0.017,0.573,9.789
2022-10-21 15:30:03,5280,-0.026,0.595,9.788
2022-10-21 15:30:03,5320,-0.025,0.64,9.785
2022-10-21 15:30:03,5360,-0.038,0.691,9.782
2022-10-21 15:30:03,5401,-0.055,0.71,9.78
2022-10-21 15:30:03,5440,-0.07,0.717,9.78
2022-10-21 15:30:03,5480,-0.091,0.707,9.78
2022-10-21 15:30:03,5520,-0.106,0.733,9.778
2022-10-21 15:30:03,5560,-0.107,0.702,9.78
2022-10-21 15:30:03,5601,-0.103,0.677,9.782
2022-10-21 15:30:03,5640,-0.106,0.653,9.784
2022-10-21 15:30:03,5680,-0.108,0.661,9.783
2022-10-21 15:30:04,5720,-0.081,0.69,9.782
2022-10-21 15:30:04,5760,-0.072,0.691,9.781
2022-10-21 15:30:04,5801,-0.094,0.663,9.783
2022-10-21 15:30:04,5840,-0.086,0.696,9.781
2022-10-21 15:30:04,5880,-0.075,0.734,9.778
2022-10-21 15:30:04,5920,-0.085,0.726,9.779
2022-10-21 15:30:04,5960,-0.126,0.69,9.781
2022-10-21 15:30:04,6001,-0.132,0.668,9.782
2022-10-21 15:30:04,6040,-0.166,0.648,9.783
2022-10-21 15:30:04,6080,-0.171,0.637,9.784
2022-10-21 15:30:04,6120,-0.161,0.644,9.784
2022-10-21 15:30:04,6161,-0.17,0.614,9.785
2022-10-21 15:30:04,6200,-0.152,0.605,9.786
2022-10-21 15:30:04,6240,-0.174,0.567,9.788
2022-10-21 15:30:04,6280,-0.176,0.554,9.789
2022-10-21 15:30:04,6321,-0.172,0.538,9.79
2022-10-21 15:30:04,6360,-0.165,0.518,9.791
2022-10-21 15:30:04,6400,-0.192,0.477,9.793
2022-10-21 15:30:04,6440,-0.145,0.49,9.793
2022-10-21 15:30:04,6480,-0.178,0.477,9.793
2022-10-21 15:30:04,6521,-0.209,0.471,9.793
2022-10-21 15:30:04,6560,-0.271,0.407,9.794
2022-10-21 15:30:04,6600,-0.372,0.293,9.795
2022-10-21 15:30:04,6640,-0.333,0.288,9.796
2022-10-21 15:30:04,6680,-0.342,0.288,9.796
2022-10-21 15:30:05,6721,-0.373,0.237,9.796
2022-10-21 15:30:05,6760,-0.363,0.25,9.796
2022-10-21 15:30:05,6800,-0.345,0.242,9.797
2022-10-21 15:30:05,6840,-0.33,0.231,9.798
2022-10-21 15:30:05,6880,-0.316,0.238,9.798
2022-10-21 15:30:05,6922,-0.302,0.244,9.798
2022-10-21 15:30:05,6960,-0.319,0.204,9.799
2022-10-21 15:30:05,7000,-0.3,0.22,9.799
2022-10-21 15:30:05,7040,-0.294,0.237,9.799
2022-10-21 15:30:05,7080,-0.302,0.243,9.798
2022-10-21 15:30:05,7120,-0.295,0.244,9.799
2022-10-21 15:30:05,7161,-0.298,0.258,9.798
2022-10-21 15:30:05,7200,-0.311,0.265,9.798
2022-10-21 15:30:05,7240,-0.315,0.283,9.797
2022-10-21 15:30:05,7280,-0.306,0.301,9.797
2022-10-21 15:30:05,7320,-0.315,0.282,9.797
2022-10-21 15:30:05,7360,-0.311,0.291,9.797
2022-10-21 15:30:05,7401,-0.287,0.302,9.797
2022-10-21 15:30:05,7440,-0.283,0.309,9.797
2022-10-21 15:30:05,7480,-0.277,0.317,9.797
2022-10-21 15:30:05,7520,-0.299,0.292,9.797
2022-10-21 15:30:05,7561,-0.297,0.295,9.797
2022-10-21 15:30:05,7600,-0.3,0.309,9.797
2022-10-21 15:30:05,7640,-0.297,0.314,9.797
2022-10-21 15:30:05,7680,-0.308,0.303,9.797
