time(ms),acc.x,acc.y,acc.z,acclinear.x,acclinear.y,acclinear.z,gravity.x,gravity.y,gravity.z,gyroscope.x,gyroscope.y,gyroscope.z,RV.x,RV.y,RV.z,RV.cos,RV.heading
1,-0.21195,0.17595,11.04705,0.224,-0.124,1.253,-0.429,0.287,9.793,0.061875,-0.4054875,0.0484,0.024472,-0.009775,-0.977486,0.209347,0
42,-0.51105005,0.46305,8.766001,-0.251,0.042,-1.036,-0.252,0.42,9.794,0.2003375,0.019524999,0.0143,0.017061,-0.01827,-0.977622,0.208875,0
81,-0.44400004,0.55605,10.120951,-0.097,0.121,0.329,-0.365,0.437,9.79,-0.0276375,0.0462,0.0526625,0.022935,-0.017866,-0.977093,0.210813,0
121,-0.504,0.33600003,9.71595,-0.12,-0.127,-0.052,-0.342,0.44,9.79,0.0160875,-0.064625,0.0378125,0.021846,-0.01826,-0.977025,0.21121,0
161,-0.17400001,0.32895002,9.798,0.186,-0.092,0.001,-0.35,0.419,9.791,-0.0691625,0.113299996,0.0495,0.021991,-0.017126,-0.976825,0.212215,0
202,-0.17595,0.36900002,10.102051,0.212,-0.018,0.3,-0.375,0.386,9.791,-0.0308,0.09515,0.032449998,0.022938,-0.015176,-0.976653,0.213051,0
241,-0.32505003,0.52995,9.4150505,0.062,0.115,-0.406,-0.389,0.402,9.79,0.0363,-0.0251625,0.021724999,0.023777,-0.015797,-0.976511,0.213564,0
281,-0.049050003,0.28800002,9.802051,0.304,-0.103,0,-0.345,0.389,9.792,-0.0979,0.0015125,-0.0048125,0.021402,-0.015466,-0.976505,0.213869,0
321,-0.82005006,0.36195,9.89295,-0.446,-0.011,0.095,-0.37,0.365,9.792,0.0268125,-0.0273625,-0.009075,0.022445,-0.014154,-0.976569,0.213559,0
362,-0.58995,0.35505003,9.675,-0.219,-0.02,-0.122,-0.366,0.374,9.792,-0.01485,-0.028324999,0.042075,0.022325,-0.014671,-0.976477,0.213956,0
401,-0.46305,0.31695002,10.00605,-0.084,-0.04,0.204,-0.378,0.353,9.792,-0.066,0.020624999,0.0441375,0.022714,-0.013487,-0.976316,0.214729,0
441,-0.69795,0.20700002,10.59,-0.286,-0.122,0.79,-0.408,0.326,9.792,0.0320375,0.0451,0.03355,0.023917,-0.011784,-0.97615,0.215451,0
481,-0.55905,0.33105,9.132,-0.154,-0.044,-0.665,-0.403,0.371,9.791,0.128975,-0.0422125,0.0122375,0.024183,-0.0142,-0.975987,0.216012,0
521,-0.76305,0.28995,10.116,-0.311,-0.084,0.317,-0.453,0.369,9.789,-0.0446875,0.1175625,0.124025,0.026651,-0.013384,-0.975716,0.216998,0
562,0.12900001,0.372,9.73995,0.563,-0.009,-0.05,-0.44,0.376,9.789,0.0853875,-0.098725,0.0845625,0.025987,-0.014025,-0.975173,0.219464,0
601,-0.06105,0.45795003,9.943951,0.29,0.042,0.178,-0.371,0.393,9.791,-0.0180125,0.005775,-0.009075,0.022879,-0.015395,-0.97512,0.219952,0
641,-0.24105,0.36195,9.943951,0.139,-0.045,0.151,-0.37,0.399,9.791,0.114125,0.03025,0.0259875,0.022932,-0.015742,-0.975201,0.219564,0
681,-0.43005002,0.504,9.25395,-0.08,0.063,-0.542,-0.341,0.44,9.79,0.014025,-0.1252625,-0.0314875,0.021799,-0.018111,-0.975184,0.21957,0
722,-0.56205004,0.31005,10.21905,-0.233,-0.117,0.422,-0.324,0.416,9.792,-0.0510125,-0.00495,0.0281875,0.020798,-0.017077,-0.975269,0.219376,0
761,-0.31500003,0.372,9.826051,0.063,-0.029,-0.012,-0.335,0.41,9.792,0.0427625,0.019524999,0.0537625,0.021308,-0.016647,-0.975066,0.220259,0
801,-0.74595004,0.52005005,9.65205,-0.441,0.087,-0.175,-0.335,0.43,9.791,0.0394625,-0.030524999,-0.0166375,0.021515,-0.017647,-0.97502,0.220363,0
841,-0.40395,0.56100005,9.490951,0.077,0.102,-0.297,-0.349,0.442,9.79,-0.039325,0.0078375,0.0836,0.022374,-0.018055,-0.97481,0.221172,0
881,-0.33405003,0.48195,10.530001,0.019,0.064,0.736,-0.346,0.413,9.791,-0.073425,-0.0177375,0.0100375,0.021908,-0.016581,-0.974637,0.222096,0
922,-0.25305,0.49905002,9.72795,0.086,0.063,-0.066,-0.331,0.427,9.791,0.0939125,-0.00495,0.0196625,0.021312,-0.017477,-0.974584,0.222319,0
961,-0.37500003,0.48900002,9.64395,-0.05,0.025,-0.133,-0.344,0.45,9.79,0.0044,0.0462,0.0185625,0.022235,-0.018504,-0.974467,0.222658,0
1001,-0.31005,0.46800002,9.58695,0.038,0.023,-0.228,-0.351,0.453,9.789,1.38E-04,0.0089375,0.0015125,0.022654,-0.01856,-0.974436,0.222745,0
1041,-0.52305,0.513,9.68505,-0.15,0.042,-0.105,-0.366,0.448,9.789,-0.04895,0.004675,0.0174625,0.023329,-0.01812,-0.974468,0.222572,0
1082,-0.39600003,0.43905002,10.135051,-0.035,0.004,0.342,-0.359,0.431,9.79,-0.038225,-0.0655875,0.03355,0.02279,-0.017353,-0.974372,0.223107,0
1121,-0.27705002,0.40305,10.15005,0.096,-0.04,0.341,-0.341,0.422,9.791,0.0246125,0.002475,0.06765,0.021795,-0.017086,-0.974185,0.224042,0
1161,-0.030000001,0.50100005,9.72795,0.269,0.048,-0.107,-0.309,0.441,9.791,0.0501875,-0.0496375,0.0132,0.02047,-0.018377,-0.973969,0.225005,0
1201,-0.28905,0.46305,9.807,0.014,0.012,0.014,-0.3,0.45,9.791,0.02145,0.0578875,0.0207625,0.020157,-0.018939,-0.974006,0.224825,0
1241,-0.16395001,0.52500004,9.453,0.135,0.055,-0.338,-0.299,0.462,9.791,0.0033,-0.0655875,-0.0218625,0.020114,-0.019574,-0.974074,0.224479,0
1281,-0.44400004,0.47505003,9.92895,-0.15,0.012,0.137,-0.285,0.45,9.792,-0.072325,-0.00385,-0.00275,0.019526,-0.019009,-0.974211,0.223985,0
1321,-0.058950003,0.39795002,10.189951,0.227,-0.036,0.408,-0.293,0.43,9.792,0.010725,0.113299996,0.0270875,0.019515,-0.018055,-0.97411,0.224504,0
1361,-0.31995,0.52995,9.56805,0,0.064,-0.229,-0.313,0.452,9.791,0.064075,-0.031625,-0.042075,0.020764,-0.018921,-0.974099,0.224369,0
1401,-0.60495,0.47205,9.56295,-0.284,0,-0.229,-0.315,0.462,9.79,-0.054175,0.0462,-0.0389125,0.020964,-0.019323,-0.974326,0.223326,0
1441,-0.34095,0.324,10.066051,0.002,-0.124,0.274,-0.342,0.437,9.79,0.011825,0.002475,0.0185625,0.022035,-0.017845,-0.974349,0.223244,0
1482,-0.27705002,0.48000002,9.835951,0.062,0.036,0.07,-0.334,0.44,9.791,-0.003025,0.011,-0.0133375,0.021634,-0.018115,-0.974534,0.222456,0
1521,-0.351,0.52500004,9.856951,0.024,0.054,0.07,-0.338,0.448,9.79,0.0587125,-0.00385,0.0270875,0.021897,-0.018537,-0.974718,0.221587,0
1561,-0.45405003,0.54405004,9.474,-0.117,0.063,-0.323,-0.332,0.467,9.789,-9.63E-04,-0.014575,0.005775,0.021804,-0.019511,-0.974617,0.221954,0
1601,-0.59805006,0.50100005,9.723001,-0.265,0.032,-0.079,-0.317,0.457,9.79,-0.0435875,-0.15619999,0.0611875,0.020958,-0.019145,-0.974532,0.222441,0
1642,0.097950004,0.28095,10.329,0.361,-0.154,0.598,-0.266,0.426,9.793,-0.1266375,-0.00605,0.0473,0.018686,-0.018416,-0.974296,0.223737,0
1681,-0.39600003,0.381,10.273951,-0.156,-0.03,0.434,-0.252,0.412,9.794,0.0757625,-0.047575,-0.062425,0.017231,-0.017609,-0.97445,0.223248,0
1721,-0.74100006,0.63795,9.783,-0.449,0.206,0.013,-0.258,0.446,9.793,0.0820875,-0.06985,0.0548625,0.017921,-0.019278,-0.974519,0.22275,0
1761,0.42600003,0.43905002,9.996,0.585,-0.053,0.19,-0.163,0.489,9.793,0.1397,-0.331925,0.0697125,0.013736,-0.022459,-0.974142,0.224396,0
1802,-0.14295001,0.717,9.216001,-0.066,0.161,-0.583,-0.069,0.546,9.791,0.052249998,-0.097625,-0.0741125,0.009714,-0.026379,-0.974165,0.224077,0
1843,0.048,0.37695003,9.975,0.085,-0.17,0.178,-0.044,0.538,9.791,-0.106425,-0.0603625,0.038775,0.008365,-0.026237,-0.974326,0.223449,0
1881,-0.411,0.42900002,10.04205,-0.407,-0.052,0.203,-0.042,0.501,9.793,0.0075625,-0.0496375,-0.0207625,0.00778,-0.02447,-0.974354,0.223548,0
1921,0.25605002,0.32205,10.03695,0.226,-0.164,0.258,-0.009,0.504,9.793,0.0501875,-0.063525,0.038775,0.00622,-0.024983,-0.974211,0.224164,0
1961,0.012,0.61800003,9.490951,-0.005,0.084,-0.312,0.005,0.528,9.792,0.045925,-0.030524999,0.0463375,0.005783,-0.026312,-0.974089,0.224553,0
2001,0.165,0.58695,10.30305,0.158,0.051,0.504,0.004,0.534,9.792,0.011825,0.1155,-0.025024999,0.005888,-0.026608,-0.973992,0.224933,0
