time(ms),acc.x,acc.y,acc.z,acclinear.x,acclinear.y,acclinear.z,gravity.x,gravity.y,gravity.z,gyroscope.x,gyroscope.y,gyroscope.z,RV.x,RV.y,RV.z,RV.cos,RV.heading
2,-0.53805,0.46500003,11.148001,-0.149,0,1.353,-0.381,0.463,9.788,-0.1340625,-0.031625,0.0771375,0.021693,0.021634,0.095399,0.994967,0
41,0.04605,0.61605,9.673051,0.307,0.095,-0.118,-0.266,0.517,9.789,0.1832875,-0.1956625,-0.00275,0.024961,0.016091,0.096298,0.994909,0
81,-0.76500005,0.66195005,9.469951,-0.509,0.083,-0.32,-0.255,0.57,9.786,0.0235125,0.124025,-0.00385,0.027734,0.015764,0.095445,0.994923,0
121,-0.094950005,0.58995,10.272,0.225,0.027,0.483,-0.307,0.557,9.785,-0.0584375,0.0143,0.117699996,0.026798,0.018377,0.097025,0.994751,0
161,0.109950006,0.59505004,9.64395,0.401,0.006,-0.075,-0.235,0.582,9.786,0.1662375,-0.112475,-0.0719125,0.028404,0.014881,0.097704,0.994698,0
202,-0.54495,0.63000005,9.405001,-0.3,0.016,-0.385,-0.246,0.624,9.783,0.02255,0.02915,-0.0048125,0.030478,0.01557,0.096412,0.994752,0
241,-0.21000001,0.606,9.826051,0.069,-0.003,0.089,-0.246,0.603,9.784,-0.1095875,-0.047575,0.0259875,0.0293,0.015451,0.096921,0.99474,0
281,-0.39600003,0.58695,10.08195,-0.147,0.014,0.292,-0.246,0.57,9.786,-0.0446875,-0.0177375,0.056925,0.027684,0.01532,0.097519,0.99473,0
322,0.15300001,0.53505003,10.20495,0.342,-0.042,0.413,-0.192,0.574,9.787,0.062975,-0.154,0.0506,0.028168,0.012669,0.098712,0.994636,0
361,-0.19500001,0.74505,9.594001,-0.048,0.116,-0.197,-0.141,0.619,9.786,0.130075,-0.095425,-0.0485375,0.03073,0.010312,0.098642,0.994594,0
401,-0.42795002,0.657,9.703951,-0.308,-0.004,-0.086,-0.114,0.657,9.783,0.047025,-0.0166375,-0.0517,0.032873,0.009065,0.097371,0.994663,0
441,-0.22395001,0.68595004,9.762,-0.087,0.011,-0.03,-0.128,0.671,9.782,0.0405625,-0.0518375,-5.50E-04,0.033393,0.009894,0.097269,0.994648,0
481,-0.35295,0.61095005,9.87705,-0.272,-0.098,0.093,-0.068,0.697,9.781,0.148225,-0.3267,0.0292875,0.035259,0.006619,0.097076,0.99463,0
522,0.32295,0.76695,9.793051,0.235,0.011,0.015,0.078,0.751,9.777,0.1109625,-0.333025,0.058025,0.038721,-8.16E-04,0.098151,0.994417,0
561,0.40005,0.77400005,9.759001,0.221,-0.024,-0.021,0.176,0.788,9.773,0.08635,-0.1604625,0.0697125,0.040953,-0.004958,0.099196,0.994212,0
601,0.010050001,0.90105003,9.60795,-0.257,0.086,-0.167,0.259,0.812,9.769,0.0385,-0.129525,-0.0314875,0.042595,-0.009071,0.099137,0.99412,0
641,0.46395,0.72405005,10.126051,0.162,-0.094,0.351,0.301,0.816,9.767,0.0363,-0.2264625,0.0548625,0.043006,-0.011132,0.099586,0.994036,0
681,0.16800001,0.77400005,9.73995,-0.194,-0.073,-0.025,0.357,0.838,9.764,0.0842875,0.0237875,0.0292875,0.044386,-0.013885,0.099949,0.993904,0
722,0.381,0.89595,9.68295,-0.009,0.054,-0.145,0.393,0.859,9.76,0.047025,-0.1551,0.03135,0.045667,-0.015589,0.100547,0.993761,0
761,0.29895002,0.85305005,9.867001,-0.09,-0.02,0.1,0.388,0.865,9.76,0.0320375,0.1079375,0.0719125,0.045958,-0.015228,0.101606,0.993645,0
801,0.67005,0.855,10.281,0.29,-0.035,0.509,0.377,0.879,9.759,0.12155,0.0738375,0.0378125,0.046763,-0.014449,0.102976,0.993478,0
841,0.32595003,1.0830001,9.187051,-0.056,0.132,-0.574,0.369,0.943,9.754,0.15565,-0.013475,0.021724999,0.050018,-0.013802,0.103378,0.993287,0
881,0.53895,0.88695,10.05405,0.204,-0.074,0.272,0.341,0.97,9.752,-0.0072875,0.2486,0.038775,0.05106,-0.011937,0.104056,0.993188,0
921,0.02205,1.29795,9.7900505,-0.279,0.278,0.029,0.297,1.018,9.749,0.1865875,-0.24145,0.0495,0.053331,-0.009632,0.10502,0.992992,0
961,0.88605005,1.00605,9.168,0.505,-0.093,-0.531,0.405,1.075,9.738,0.12155,0.0792,-0.0155375,0.056839,-0.01481,0.105494,0.992683,0
1001,0.09105001,1.1910001,9.4480505,-0.181,0.12,-0.306,0.263,1.064,9.745,-0.22247499,0.4637875,-0.0176,0.055475,-0.007648,0.105118,0.992881,0
1041,0.112950005,1.0489501,10.606951,-0.042,0.058,0.841,0.15,0.99,9.755,-0.0617375,0.070675,-0.061325,0.051095,-0.00235,0.10499,0.993156,0
1082,0.90000004,0.98505,10.0990505,0.675,-0.024,0.34,0.223,1.005,9.752,0.0768625,-0.1753125,-0.093225,0.052326,-0.006169,0.103206,0.993263,0
