time(ms),acc.x,acc.y,acc.z,acclinear.x,acclinear.y,acclinear.z,gravity.x,gravity.y,gravity.z,gyroscope.x,gyroscope.y,gyroscope.z,RV.x,RV.y,RV.z,RV.cos,RV.heading
1,-0.78900003,1.24605,10.473001,-0.556,-0.123,0.751,-0.22,1.363,9.708,-0.30621248,0.495275,-0.14093749,0.061665,-0.034361,-0.618334,0.782737,0
41,-0.231,1.368,10.236,0.034,0.038,0.582,-0.279,1.31,9.714,0.1709125,-0.1684375,0.0444125,0.061402,-0.030558,-0.618813,0.782537,0
81,-0.076050006,1.46595,9.04605,0.154,0.039,-0.661,-0.222,1.392,9.704,0.1208625,-0.0257125,-0.02915,0.062897,-0.035255,-0.61875,0.782271,0
121,-0.39900002,1.5469501,9.65205,-0.188,0.139,-0.072,-0.22,1.413,9.701,-0.0400125,-0.0746625,-0.0408375,0.063605,-0.036053,-0.619208,0.781815,0
161,-0.291,1.2910501,9.70905,-0.098,-0.128,-0.005,-0.187,1.408,9.703,-0.0154,0.01265,-0.06325,0.062359,-0.037259,-0.619892,0.781316,0
201,-0.45105,1.27005,9.94095,-0.237,-0.123,0.223,-0.212,1.39,9.705,0.007975,-0.02255,0.022,0.062402,-0.035716,-0.620308,0.781055,0
241,-0.38700002,1.353,9.832951,-0.204,-0.056,0.13,-0.176,1.405,9.703,0.0633875,-0.1375,0.049775,0.061894,-0.037569,-0.619986,0.781264,0
281,0.013950001,1.5190501,9.283051,0.123,0.074,-0.424,-0.109,1.437,9.7,0.0356125,-0.1087625,0.041249998,0.061113,-0.041231,-0.619085,0.781855,0
321,-0.26700002,1.3099501,10.02705,-0.161,-0.116,0.322,-0.097,1.423,9.702,0.0037125,0.01265,0.012375,0.06021,-0.041217,-0.618274,0.782568,0
362,-0.09,1.353,9.65205,-0.009,-0.105,-0.054,-0.071,1.453,9.698,0.13255,-0.197175,0.0614625,0.060619,-0.043166,-0.617807,0.782799,0
401,0.024,1.5829501,9.534,0.006,0.09,-0.158,0.007,1.489,9.692,0.009075,-0.095975,0.013475,0.059618,-0.047432,-0.616979,0.783282,0
441,0.28305,1.389,10.08705,0.25,-0.085,0.383,0.021,1.474,9.695,-0.026124999,0.038225,0.0177375,0.058583,-0.047492,-0.616426,0.783792,0
481,-0.20205002,1.6309501,9.817051,-0.183,0.131,0.113,-0.007,1.489,9.692,0.0985875,0.0947375,-0.036575,0.060073,-0.046807,-0.616743,0.783471,0
521,-0.25995,1.6459501,9.549001,-0.259,0.096,-0.137,0.001,1.538,9.685,0.1282875,-0.1918125,0.0242,0.061728,-0.048984,-0.617121,0.782911,0
561,0.14400001,1.62195,9.340051,0.084,0.048,-0.349,0.051,1.572,9.679,-0.0367125,-0.0044,0.0785125,0.061596,-0.051803,-0.616144,0.78351,0
602,0.18405001,1.4899501,10.03905,0.13,-0.063,0.354,0.046,1.548,9.683,-0.0176,-0.0075625,0.0166375,0.060849,-0.050759,-0.615211,0.784369,0
641,-0.123,1.69305,9.5130005,-0.204,0.118,-0.188,0.054,1.556,9.682,-0.010175,0.003025,-0.0471625,0.0609,-0.05134,-0.61541,0.784172,0
681,-0.24105,1.473,9.667951,-0.268,-0.077,-0.026,0.036,1.548,9.683,0.006875,-0.029975,0.0103125,0.061111,-0.050453,-0.615804,0.783903,0
721,0.049950004,1.57095,9.8220005,0.003,0.024,0.094,0.051,1.541,9.684,-0.0900625,0.0573375,0.014575,0.060336,-0.050691,-0.615884,0.783885,0
761,-0.22395001,1.6020001,9.759001,-0.245,0.057,0.118,0,1.522,9.687,0.0378125,0.0743875,0.07425,0.061336,-0.04806,-0.615359,0.784385,0
802,-0.010950001,1.626,9.582001,0.008,0.113,-0.138,-0.008,1.534,9.685,-0.077275,0.070125,0.0529375,0.062057,-0.048026,-0.614577,0.784944,0
841,-0.21405001,1.61205,9.972,-0.167,0.098,0.28,-0.036,1.508,9.689,-0.0314875,-0.0661375,0.0529375,0.06195,-0.046042,-0.613859,0.785632,0
881,-0.00405,1.3099501,10.36005,-0.025,-0.166,0.633,0.012,1.501,9.691,0.006875,-0.014025,0.066825,0.060138,-0.047732,-0.613465,0.78598,0
922,-0.36105,1.5120001,9.723001,-0.297,-0.009,0.023,-0.053,1.518,9.688,0.14533749,0.1969,0.165825,0.063199,-0.045432,-0.611829,0.78715,0
961,0.03795,1.4280001,9.924001,0.062,-0.15,0.314,-0.062,1.553,9.682,0.0037125,0.0072875,0.080575,0.064813,-0.046105,-0.610004,0.788395,0
1001,0.39705002,1.7029501,9.34305,0.433,0.101,-0.308,-0.051,1.576,9.678,0.1038125,0.055275,0.0583,0.065439,-0.047186,-0.608948,0.789095,0
1041,-0.30795002,1.6789501,9.82905,-0.201,0.123,0.103,-0.087,1.591,9.676,-0.06765,0.140525,-0.037675,0.06718,-0.046244,-0.60912,0.788872,0
1081,-0.16395001,1.7080501,9.1699505,-0.015,0.115,-0.509,-0.147,1.587,9.676,-0.0059125,0.088275,0.032725,0.068874,-0.043644,-0.609091,0.788897,0
