Timestamp,Milliseconds,X,Y,Z
2022-10-21 15:34:20,2,-0.577,0.832,9.754
2022-10-21 15:34:20,41,-0.448,0.867,9.757
2022-10-21 15:34:20,81,-0.401,0.916,9.755
2022-10-21 15:34:20,121,-0.394,0.915,9.755
2022-10-21 15:34:20,161,-0.389,0.885,9.758
2022-10-21 15:34:20,202,-0.331,0.901,9.759
2022-10-21 15:34:20,241,-0.282,0.925,9.758
2022-10-21 15:34:20,281,-0.278,0.917,9.759
2022-10-21 15:34:20,321,-0.198,0.939,9.759
2022-10-21 15:34:20,361,-0.179,0.959,9.757
2022-10-21 15:34:20,402,-0.171,0.946,9.759
2022-10-21 15:34:20,441,-0.199,0.92,9.761
2022-10-21 15:34:20,481,-0.179,0.915,9.762
2022-10-21 15:34:20,521,-0.189,0.916,9.761
2022-10-21 15:34:20,562,-0.149,0.924,9.761
2022-10-21 15:34:21,601,-0.161,0.92,9.762
2022-10-21 15:34:21,641,-0.106,0.957,9.759
2022-10-21 15:34:21,681,-0.09,0.984,9.756
2022-10-21 15:34:21,721,-0.059,1.029,9.752
2022-10-21 15:34:21,761,0.021,1.066,9.748
2022-10-21 15:34:21,802,0.164,1.13,9.739
2022-10-21 15:34:21,841,0.194,1.153,9.736
2022-10-21 15:34:21,881,0.247,1.152,9.735
2022-10-21 15:34:21,921,0.197,1.066,9.746
2022-10-21 15:34:21,961,0.117,1.006,9.754
2022-10-21 15:34:21,1002,0.03,0.952,9.76
2022-10-21 15:34:21,1041,0.077,0.959,9.759
2022-10-21 15:34:21,1081,0.046,0.959,9.759
2022-10-21 15:34:21,1121,0.024,0.921,9.763
2022-10-21 15:34:21,1161,-0.026,0.899,9.765
2022-10-21 15:34:21,1202,-0.036,0.886,9.766
2022-10-21 15:34:21,1241,-0.081,0.912,9.763
2022-10-21 15:34:21,1281,-0.136,0.921,9.762
2022-10-21 15:34:21,1321,-0.161,0.946,9.759
2022-10-21 15:34:21,1361,-0.217,0.967,9.756
2022-10-21 15:34:21,1401,-0.18,1.026,9.751
2022-10-21 15:34:21,1441,-0.28,0.976,9.753
2022-10-21 15:34:21,1481,-0.282,0.988,9.752
2022-10-21 15:34:21,1521,-0.164,1.009,9.753
2022-10-21 15:34:21,1561,-0.231,0.927,9.759
2022-10-21 15:34:22,1601,-0.299,0.814,9.768
2022-10-21 15:34:22,1642,-0.239,0.828,9.768
2022-10-21 15:34:22,1681,-0.241,0.809,9.77
2022-10-21 15:34:22,1721,-0.188,0.774,9.774
2022-10-21 15:34:22,1761,-0.171,0.752,9.776
2022-10-21 15:34:22,1801,-0.202,0.754,9.775
2022-10-21 15:34:22,1842,-0.202,0.757,9.775
2022-10-21 15:34:22,1881,-0.164,0.774,9.774
2022-10-21 15:34:22,1921,-0.219,0.818,9.77
2022-10-21 15:34:22,1961,-0.223,0.811,9.77
2022-10-21 15:34:22,2001,-0.26,0.798,9.77
2022-10-21 15:34:22,2041,-0.304,0.809,9.768
2022-10-21 15:34:22,2082,-0.339,0.844,9.764
2022-10-21 15:34:22,2121,-0.312,0.82,9.767
2022-10-21 15:34:22,2161,-0.295,0.792,9.77
