time(ms),acc.x,acc.y,acc.z,acclinear.x,acclinear.y,acclinear.z,gravity.x,gravity.y,gravity.z,gyroscope.x,gyroscope.y,gyroscope.z,RV.x,RV.y,RV.z,RV.cos,RV.heading
1,-0.99300003,0.79800004,10.597051,-0.403,-0.042,0.842,-0.577,0.832,9.754,-0.091437496,-0.055,0.0633875,0.034985,-0.038117,-0.989366,0.135931,0
41,-0.40095,0.84405005,9.66405,0.053,-0.036,-0.101,-0.448,0.867,9.757,0.181225,-0.1667875,0.0111375,0.028633,-0.040891,-0.989207,0.137756,0
81,-0.46095002,0.89895004,9.273001,-0.045,-0.03,-0.507,-0.401,0.916,9.755,0.0683375,-0.080575,0.0154,0.026816,-0.043659,-0.989198,0.137336,0
122,-0.43005002,0.94200003,9.64395,-0.028,0.024,-0.112,-0.394,0.915,9.755,-0.1021625,0.0163625,0.03025,0.026372,-0.043412,-0.989165,0.137737,0
161,-0.42000002,0.93900007,10.08195,-0.019,0.04,0.32,-0.389,0.885,9.758,0.0012375,-0.1189375,0.025024999,0.025844,-0.042047,-0.989114,0.138625,0
201,-0.24795002,0.92700005,9.982051,0.089,0.025,0.21,-0.331,0.901,9.759,0.0479875,-0.146575,0.0708125,0.023167,-0.043204,-0.989035,0.139301,0
241,-0.102000006,1.023,9.490951,0.186,0.095,-0.279,-0.282,0.925,9.758,0.01925,-0.030524999,0.023924999,0.02085,-0.044788,-0.988918,0.139995,0
281,-0.21900001,0.966,10.255051,0.06,0.036,0.482,-0.278,0.917,9.759,-0.0276375,-0.0581625,0.0207625,0.020473,-0.04435,-0.988959,0.139905,0
322,-0.186,0.906,9.68295,0.021,-0.04,-0.089,-0.198,0.939,9.759,0.12265,-0.2574,-0.010175,0.0165,-0.046231,-0.989041,0.139238,0
361,-0.19095,0.96105003,9.726001,-0.011,-0.006,-0.032,-0.179,0.959,9.757,-0.0254375,0.054725,0.038775,0.015895,-0.047237,-0.989059,0.138841,0
401,-0.20700002,0.882,9.628051,-0.032,-0.075,-0.143,-0.171,0.946,9.759,-0.047849998,0.0100375,-0.012375,0.015395,-0.046562,-0.989125,0.138658,0
442,-0.15,0.88695,10.09395,0.049,-0.034,0.331,-0.199,0.92,9.761,-0.047849998,-0.0070125,0.0473,0.016417,-0.044897,-0.989113,0.139173,0
481,-0.13995,0.91800004,9.625051,0.042,-0.002,-0.146,-0.179,0.915,9.762,0.011825,0.055825,-0.0144375,0.01559,-0.045007,-0.989081,0.139459,0
521,-0.123,0.99195004,10.02,0.053,0.077,0.208,-0.189,0.916,9.761,0.0012375,-0.10395,-0.00165,0.015823,-0.045036,-0.989107,0.13924,0
561,-0.40395,0.966,9.604051,-0.245,0.028,-0.159,-0.149,0.924,9.761,-0.005225,0.004675,-0.0081125,0.014083,-0.04567,-0.9892,0.138557,0
601,-0.10695001,0.92505,10.387051,0.04,-0.006,0.657,-0.161,0.92,9.762,0.0479875,-0.10725,0.0600875,0.014424,-0.045372,-0.989165,0.138872,0
642,0.043050002,0.99705005,9.68295,0.147,0.037,-0.088,-0.106,0.957,9.759,0.080025,-0.0411125,0.03135,0.012128,-0.047721,-0.989094,0.138808,0
681,-0.23595001,0.94395006,9.975,-0.139,-0.041,0.213,-0.09,0.984,9.756,0.131175,-0.0911625,-0.0081125,0.011528,-0.04924,-0.988945,0.139389,0
721,-0.34095,0.96795005,9.56295,-0.281,-0.062,-0.19,-0.059,1.029,9.752,0.0735625,-0.14973749,0.075075,0.010372,-0.051635,-0.988731,0.140126,0
761,0.25605002,1.0570501,9.934051,0.175,0.012,0.221,0.021,1.066,9.748,0.179025,-0.3139125,0.1442375,0.006372,-0.054277,-0.988367,0.141929,0
801,0.060000002,1.16205,9.496051,-0.11,0.026,-0.246,0.164,1.13,9.739,0.0939125,-0.249975,0.0495,-2.64E-04,-0.058503,-0.987969,0.143159,0
841,0.28005,1.1910001,9.679951,0.078,0.031,-0.066,0.194,1.153,9.736,0.0405625,-0.0411125,0.159225,-0.001316,-0.059827,-0.987567,0.145361,0
881,0.555,1.2409501,9.382951,0.297,0.083,-0.364,0.247,1.152,9.735,-0.1948375,0.0504625,0.039875,-0.003833,-0.0599,-0.987359,0.146689,0
921,0.061950002,1.02495,9.903001,-0.143,-0.044,0.155,0.197,1.066,9.746,-0.139425,0.14739999,-0.0517,-0.001895,-0.055187,-0.987732,0.146064,0
961,0.07395,0.87495005,9.931951,-0.048,-0.135,0.175,0.117,1.006,9.754,-0.1852125,0.223025,0.0495,0.00171,-0.051249,-0.98807,0.145212,0
1001,-0.19500001,0.99705005,9.94095,-0.221,0.041,0.169,0.03,0.952,9.76,-0.01485,0.106975,0.055825,0.005677,-0.048317,-0.988036,0.146346,0
1042,0.51000005,0.77400005,9.60795,0.426,-0.196,-0.156,0.077,0.959,9.759,0.061875,-0.0262625,-0.0240625,0.003273,-0.049074,-0.987905,0.147047,0
1081,-0.37005,1.1380501,9.295051,-0.414,0.17,-0.47,0.046,0.959,9.759,-0.070125,0.0792,-0.0176,0.004882,-0.048733,-0.988056,0.146098,0
1121,0.42900002,0.762,10.19295,0.398,-0.172,0.424,0.024,0.921,9.763,-0.0743875,0.13035,0.0196625,0.005445,-0.046363,-0.98797,0.147427,0
1161,-0.21900001,1.06605,9.92895,-0.193,0.162,0.163,-0.026,0.899,9.765,-0.0691625,0.1122,-0.034649998,0.00817,-0.045176,-0.987887,0.148222,0
1202,0.37605003,0.82395005,10.272,0.403,-0.068,0.503,-0.036,0.886,9.766,0.0374,0.0589875,-0.0133375,0.008596,-0.044477,-0.987814,0.148895,0
1241,-0.45405003,1.0900501,9.711,-0.368,0.177,-0.052,-0.081,0.912,9.763,0.045925,0.121825,-0.0325875,0.011297,-0.045462,-0.987736,0.148934,0
1281,0.043050002,0.83400005,10.365001,0.176,-0.09,0.602,-0.136,0.921,9.762,0.0257125,0.06435,0.025024999,0.01396,-0.045471,-0.987643,0.149321,0
1321,-0.58305,1.04205,9.61305,-0.424,0.092,-0.157,-0.161,0.946,9.759,0.0512875,0.0473,-0.0187,0.015366,-0.046555,-0.987542,0.149519,0
