time(ms),acc.x,acc.y,acc.z,acclinear.x,acclinear.y,acclinear.z,gravity.x,gravity.y,gravity.z,gyroscope.x,gyroscope.y,gyroscope.z,RV.x,RV.y,RV.z,RV.cos,RV.heading
1,-0.052050002,0.00795,11.227051,0.2,-0.49,1.431,-0.241,0.49,9.791,0.3878875,-0.7739875,0.0878625,0.0277,-0.002971,-0.534234,0.844877,0
41,-0.29295,0.87195003,9.151051,-0.264,0.112,-0.638,-0.037,0.749,9.777,0.1854875,0.16445,0.1144,0.03315,-0.018792,-0.532825,0.845366,0
81,0.24900001,0.85800004,9.70905,0.323,0.066,-0.076,-0.078,0.792,9.774,0.012925,0.019524999,0.0495,0.036349,-0.018071,-0.53115,0.846304,0
121,-0.15495001,0.74100006,9.70695,-0.056,-0.062,-0.075,-0.095,0.799,9.773,0.064075,0.111237496,-0.0166375,0.037046,-0.017613,-0.531354,0.846155,0
161,-0.27405003,0.79605,9.666,-0.119,-0.005,-0.116,-0.155,0.794,9.773,-0.072325,0.1579875,0.0484,0.038527,-0.014997,-0.5313,0.846174,0
201,0.043050002,0.63495004,10.147051,0.22,-0.126,0.371,-0.18,0.751,9.776,-0.0606375,0.036575,0.0037125,0.037401,-0.012551,-0.530446,0.8468,0
241,-0.56595004,0.70905006,9.85305,-0.362,-0.025,0.07,-0.195,0.733,9.777,-0.01375,0.036575,0.03025,0.037277,-0.010878,-0.530283,0.84693,0
281,-0.11895001,0.70695,9.759001,0.109,-0.042,-0.024,-0.218,0.737,9.776,0.0831875,-0.0081125,0.1197625,0.037873,-0.010545,-0.529044,0.847683,0
321,0.333,0.87705004,9.45495,0.547,0.06,-0.336,-0.164,0.772,9.774,0.047025,-0.0336875,-0.027224999,0.037874,-0.01363,-0.52818,0.848177,0
361,-0.55905,0.86700004,10.33605,-0.381,0.082,0.549,-0.176,0.775,9.774,-0.021175,0.0845625,-0.03355,0.038323,-0.013311,-0.529199,0.847526,0
402,0.079050004,0.97800004,9.868951,0.209,0.134,0.17,-0.178,0.808,9.771,0.1727,-0.17325,0.058025,0.039818,-0.014085,-0.528831,0.847675,0
441,-0.112050004,0.94605005,9.958051,0.001,0.072,0.188,-0.109,0.869,9.767,0.08855,-0.045375,0.0015125,0.040616,-0.018748,-0.52893,0.847485,0
481,0.18195,1.128,9.5130005,0.263,0.209,-0.269,-0.073,0.92,9.763,0.1258125,-0.0922625,-0.0155375,0.041845,-0.021711,-0.528932,0.847353,0
521,-0.29805002,1.0330501,9.958051,-0.218,0.102,0.141,-0.068,0.946,9.76,-0.004125,0.0493625,-0.03575,0.042806,-0.022676,-0.529627,0.846846,0
562,0.00705,1.0180501,9.42405,0.069,0.042,-0.306,-0.054,0.966,9.758,0.062975,-0.0528,-0.0633875,0.043322,-0.02379,-0.529638,0.846782,0
601,-0.51405,0.94605005,9.984,-0.436,-0.032,0.225,-0.078,0.97,9.758,-0.006325,-0.00495,-0.00275,0.044106,-0.022891,-0.53036,0.846314,0
641,0.12495001,0.86505,10.342951,0.168,-0.127,0.58,-0.046,0.985,9.756,0.1513875,-0.0444125,0.0111375,0.043917,-0.024707,-0.529898,0.846562,0
681,-0.45405003,1.18095,9.72795,-0.39,0.109,-0.023,-0.059,1.061,9.748,0.1524875,-0.0902,0.023924999,0.047568,-0.026191,-0.529673,0.846461,0
