Timestamp,Milliseconds,X,Y,Z
2022-10-21 15:31:17,1,-0.022,0.005,0.831
2022-10-21 15:31:17,41,0.025,0.017,-0.319
2022-10-21 15:31:17,81,-0.446,-0.039,0.494
2022-10-21 15:31:17,122,0.326,-0.086,0.302
2022-10-21 15:31:17,161,-0.138,0.033,0.035
2022-10-21 15:31:17,201,0.027,0.058,-0.139
2022-10-21 15:31:17,241,0.045,-0.106,0.286
2022-10-21 15:31:17,281,-0.127,-0.052,-0.389
2022-10-21 15:31:17,322,0.151,-0.086,0.215
2022-10-21 15:31:18,361,0.023,0.091,-0.22
2022-10-21 15:31:18,401,-0.487,0.067,-0.084
2022-10-21 15:31:18,441,0.299,-0.084,0.306
2022-10-21 15:31:18,481,-0.086,0.086,0.157
2022-10-21 15:31:18,521,-0.251,0.12,-0.028
2022-10-21 15:31:18,562,0.282,-0.033,0.506
2022-10-21 15:31:18,601,0.01,0.162,-0.355
2022-10-21 15:31:18,641,0.063,-0.018,0.222
2022-10-21 15:31:18,681,-0.007,0.02,-0.374
2022-10-21 15:31:18,721,-0.239,-0.055,0.504
2022-10-21 15:31:18,762,0.074,0.027,-0.311
2022-10-21 15:31:18,801,-0.141,-0.062,0.357
2022-10-21 15:31:18,841,0.18,0.061,-0.468
2022-10-21 15:31:18,881,0.08,-0.05,0.442
2022-10-21 15:31:18,921,0.2,0.088,-0.034
2022-10-21 15:31:18,962,-0.379,0.017,0.239
2022-10-21 15:31:18,1001,0.449,-0.037,-0.059
2022-10-21 15:31:18,1041,-0.096,0.0,-0.07
2022-10-21 15:31:18,1081,0.226,-0.016,-0.069
2022-10-21 15:31:18,1121,-0.291,0.05,0.038
2022-10-21 15:31:18,1161,-0.034,-0.043,0.131
2022-10-21 15:31:18,1201,-0.092,0.018,0.13
2022-10-21 15:31:18,1241,-0.196,-0.006,0.062
2022-10-21 15:31:18,1281,-0.075,0.034,-0.452
2022-10-21 15:31:18,1321,0.087,-0.028,0.358
2022-10-21 15:31:19,1362,-0.191,0.038,-0.052
2022-10-21 15:31:19,1401,0.319,0.061,-0.078
2022-10-21 15:31:19,1441,-0.246,0.012,0.067
2022-10-21 15:31:19,1481,0.178,0.096,-0.232
2022-10-21 15:31:19,1521,0.197,0.079,0.022
2022-10-21 15:31:19,1561,-0.016,-0.008,0.614
2022-10-21 15:31:19,1601,-0.146,0.032,-0.162
2022-10-21 15:31:19,1641,-0.01,0.045,0.055
2022-10-21 15:31:19,1682,-0.024,0.053,0.094
2022-10-21 15:31:19,1721,-0.032,0.056,0.012
