time(ms),acc.x,acc.y,acc.z,acclinear.x,acclinear.y,acclinear.z,gravity.x,gravity.y,gravity.z,gyroscope.x,gyroscope.y,gyroscope.z,RV.x,RV.y,RV.z,RV.cos,RV.heading
1,0.13605,1.164,10.578,-0.022,0.005,0.831,0.159,1.152,9.737,-0.0435875,0.06435,0.0122375,0.040879,-0.043125,-0.623782,0.779336,0
40,0.25605002,1.2220501,9.41205,0.025,0.017,-0.319,0.219,1.194,9.731,0.02035,-0.0358875,-0.0133375,0.040616,-0.046896,-0.624078,0.778895,0
81,-0.26205,1.143,10.236,-0.446,-0.039,0.494,0.187,1.169,9.734,-0.121275,0.1249875,0.0174625,0.040627,-0.044845,-0.62435,0.778796,0
120,0.48600003,1.0710001,10.14,0.326,-0.086,0.302,0.163,1.162,9.736,0.1662375,-0.0911625,0.0782375,0.041136,-0.043615,-0.623595,0.779444,0
160,0.069000006,1.248,9.774,-0.138,0.033,0.035,0.206,1.206,9.729,0.0182875,-0.014575,-5.50E-04,0.04156,-0.046724,-0.6235,0.779317,0
200,0.21795002,1.2910501,9.60105,0.027,0.058,-0.139,0.19,1.221,9.728,0.104499996,-0.0422125,0.0378125,0.042664,-0.046561,-0.623111,0.779579,0
240,0.26595002,1.1520001,10.015051,0.045,-0.106,0.286,0.213,1.25,9.724,0.069299996,0.0589875,0.0196625,0.043206,-0.048408,-0.622847,0.779647,0
280,0.07395,1.2430501,9.34305,-0.127,-0.052,-0.389,0.195,1.291,9.719,0.17379999,-0.112475,0.0867625,0.045423,-0.049192,-0.622182,0.780003,0
320,0.39000002,1.251,9.934051,0.151,-0.086,0.215,0.229,1.326,9.713,-0.0413875,0.088825,0.0452375,0.045754,-0.051362,-0.620916,0.780852,0
360,0.261,1.41795,9.498,0.023,0.091,-0.22,0.235,1.324,9.713,0.02145,-0.1359875,-0.028324999,0.045457,-0.051657,-0.620609,0.781094,0
400,-0.25500003,1.389,9.642,-0.487,0.067,-0.084,0.24,1.321,9.714,-0.0521125,0.09735,0.0526625,0.045196,-0.051649,-0.62086,0.780911,0
440,0.52905005,1.21695,10.02705,0.299,-0.084,0.306,0.217,1.296,9.718,-0.01375,0.004675,0.1197625,0.045056,-0.049799,-0.618666,0.782778,0
480,0.16005,1.389,9.88605,-0.086,0.086,0.157,0.236,1.303,9.716,0.0683375,-0.00495,0.0122375,0.044821,-0.050714,-0.617457,0.783686,0
520,-0.052050002,1.50705,9.699,-0.251,0.12,-0.028,0.237,1.336,9.712,0.0374,-0.0688875,0.059125,0.046191,-0.051825,-0.616878,0.78399,0
561,0.51000005,1.3219501,10.20495,0.282,-0.033,0.506,0.272,1.352,9.709,0.08855,-0.1934625,0.109175,0.045772,-0.053813,-0.615258,0.785153,0
600,0.37095,1.5690001,9.349951,0.01,0.162,-0.355,0.359,1.406,9.698,0.131175,-0.079475,0.0111375,0.04531,-0.058769,-0.614457,0.785452,0
640,0.45495003,1.416,9.96,0.063,-0.018,0.222,0.385,1.435,9.693,0.0416625,-0.1252625,0.0506,0.045681,-0.060731,-0.613935,0.785689,0
680,0.40695003,1.4830501,9.316051,-0.007,0.02,-0.374,0.402,1.45,9.69,-0.0265375,0.0185625,0.0292875,0.045827,-0.061974,-0.61348,0.785939,0
721,0.165,1.36995,10.21395,-0.239,-0.055,0.504,0.365,1.417,9.696,-0.040425,0.18259999,0.0185625,0.045752,-0.059159,-0.613055,0.786492,0
760,0.43095002,1.45605,9.438001,0.074,0.027,-0.311,0.347,1.43,9.695,0.0715,-0.07315,0.0367125,0.046815,-0.05892,-0.612329,0.787012,0
